Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Goals,"Shots per
game",Avg Minutes Played
Mickael Le Bihan,6.38,71,FW,2,0,0.4,0,1,1.0,101.5
Pietro Pellegri,6.35,67,Forward,0,0,0.3,0,1,0.3,
Nathaël Julan,6.35,67,Forward,3,0,4.0,0,0,1.5,143.66666666666666
Gaoussou Traore,6.34,62,Forward,1,0,1.0,0,0,0.3,107.0
Cheick Timite,6.34,64,"AM(R), FW",15,1,0.8,0,1,1.3,96.86666666666666
Mariano,6.33,80,FW,2,0,0.7,0,0,1.0,72.0
Mario Balotelli,6.33,83,FW,9,1,1.3,0,0,3.3,84.33333333333333
Carlos Vinicius,6.32,62,FW,3,1,0.8,0,2,0.9,172.0
Jules Keita,6.32,66,Forward,2,1,0.1,1,2,0.9,221.5
Charles Nathan Abi,6.3,79,"Forward, Forward",0,0,0.7,0,0,0.3,
Alexandre Mendy,6.3,72,FW,8,0,1.3,0,3,1.4,95.625
Corentin Jean,6.26,72,"AM(LR), FW",6,0,0.8,0,0,0.7,103.83333333333333
Aaron Leya Iseka,6.25,71,FW,15,0,1.2,0,4,1.0,96.0
Wilfried Kanga,6.24,68,FW,4,0,0.6,1,2,1.0,120.75
Hakim El Mokkedem,6.21,65,Forward,0,0,0.5,0,0,0.0,
Firmin Mubele,6.2,74,"AM(R), FW",4,0,0.3,0,1,0.8,115.0
Moussa Sylla,6.17,65,FW,7,0,0.9,0,0,0.9,108.85714285714286
Jordi Mboula,6.12,70,Forward,3,0,0.3,0,0,1.3,92.0
Matthias Phaeton,6.09,62,Forward,0,0,0.3,0,0,0.0,
Yassin Fekir,6.08,60,Forward,0,0,0.0,0,0,1.0,
Mohamed Lamine Diaby,6.08,70,Forward,2,0,0.5,0,0,0.3,80.5
Yannis Ammour,6.02,62,Forward,0,0,0.0,0,0,0.0,
Lenny Pintor,6,62,Forward,0,0,0.0,0,0,0.0,
Virgile Pinson,6,62,Forward,0,0,0.0,0,0,0.0,
Willem Geubbels,6,64,Forward,0,0,0.0,0,0,0.0,
Idriss Saadi,5.96,70,FW,0,0,0.0,0,0,0.0,
Yannis Salibur,5.85,76,"AM(CLR), FW",0,0,0.0,0,0,0.0,
Eden Hazard,7.81,91,"M(CLR), FW",32,15,0.5,14,16,2.5,91.4375
Raheem Sterling,7.61,86,"M(CLR), FW",31,10,0.4,8,17,2.3,89.58064516129032
Mohamed Salah,7.57,88,"AM(CLR), FW",37,8,0.3,8,22,3.6,88.16216216216216
Sergio Agüero,7.53,89,"AM(CL), FW",31,8,0.5,5,21,3.6,80.0
Sadio Mané,7.43,86,"AM(CLR), FW",35,1,1.0,6,22,2.4,88.17142857142858
Harry Kane,7.38,89,"AM(C), FW",27,4,1.8,6,17,3.6,89.88888888888889
Felipe Anderson,7.23,83,"M(CLR), FW",36,4,0.3,6,9,1.6,84.83333333333333
Wilfried Zaha,7.21,82,"AM(LR), FW",34,5,0.3,6,10,2.1,89.44117647058823
Roberto Firmino,7.2,86,"M(CLR), FW",31,6,0.9,4,12,2.2,84.51612903225806
Alexandre Lacazette,7.17,85,"M(LR), FW",27,8,1.3,4,13,2.3,92.85185185185185
Gylfi Sigurdsson,7.16,82,"M(CLR), FW",36,6,0.5,6,13,2.3,87.05555555555556
"Pierre0,00Emerick Aubameyang",7.1,88,"M(LR), FW",30,5,0.9,4,22,2.6,91.1
"Son Heung0,00Min",7.1,84,"M(CLR), FW",23,6,0.1,4,12,2.4,89.08695652173913
Raúl Jiménez,7.07,78,FW,36,7,2.1,4,13,2.9,86.80555555555556
Salomón Rondón,7.05,77,FW,30,7,4.6,1,11,2.8,86.96666666666667
Kevin De Bruyne,7.05,91,"M(CLR), FW",11,2,0.3,2,2,1.6,88.9090909090909
Aleksandar Mitrovic,7.03,77,FW,37,3,6.5,4,11,3.5,88.70270270270271
Callum Wilson,6.99,79,FW,29,9,1.5,4,14,2.2,87.41379310344827
Lucas Moura,6.96,83,"AM(CLR), FW",25,0,1.1,3,10,1.4,85.12
Marcus Rashford,6.95,81,"AM(LR), FW",26,6,0.9,3,10,2.5,90.1923076923077
Ayoze Pérez,6.95,76,"AM(CLR), FW",34,2,0.7,3,12,1.5,86.11764705882354
Jamie Vardy,6.94,82,"AM(L), FW",30,4,2.0,3,18,2.3,91.1
Michail Antonio,6.92,76,"D(R), M(CLR), FW",22,4,2.4,2,6,2.0,95.5
Nathan Redmond,6.91,75,"AM(CLR), FW",36,4,0.7,3,6,1.9,91.05555555555556
Anthony Martial,6.9,84,"AM(LR), FW",18,2,0.7,2,10,1.4,90.22222222222223
Diogo Jota,6.89,78,"AM(CL), FW",29,5,0.8,3,9,1.8,81.79310344827586
Gonzalo Higuaín,6.89,88,FW,13,0,0.5,0,5,3.3,84.0
Richarlison,6.89,79,"AM(CLR), FW",32,1,2.0,3,13,2.4,83.71875
Michy Batshuayi,6.86,80,FW,9,0,1.1,0,5,2.5,84.11111111111111
Gerard Deulofeu,6.84,80,"AM(LR), FW",26,5,0.1,3,10,2.0,80.11538461538461
Romelu Lukaku,6.84,87,"AM(R), FW",22,0,2.9,2,12,1.7,96.81818181818181
Marko Arnautovic,6.84,82,"AM(CLR), FW",24,4,0.9,2,10,2.2,83.375
Danny Ings,6.83,76,"AM(C), FW",23,3,0.8,0,7,2.3,72.52173913043478
Callum Paterson,6.82,71,"D(R), M(CR), FW",21,1,7.5,1,4,1.5,95.04761904761905
Miguel Almirón,6.76,64,"AM(CL), FW",9,0,0.1,0,0,1.9,84.77777777777777
Ashley Barnes,6.75,76,"AM(CL), FW",26,2,3.6,2,12,1.8,91.84615384615384
Steve Mounie,6.69,75,FW,19,3,6.8,2,2,2.0,93.57894736842105
Chris Wood,6.67,77,FW,29,2,3.5,2,10,1.6,89.51724137931035
Christian Benteke,6.66,76,FW,9,1,5.6,1,1,1.6,90.33333333333333
Glenn Murray,6.65,77,FW,30,1,4.6,3,13,1.4,83.76666666666667
Gabriel Jesus,6.64,83,"AM(LR), FW",8,3,0.5,1,7,1.5,127.75
Sam Vokes,6.63,76,FW,10,0,6.3,0,3,1.1,91.6
"Dominic Calvert0,00Lewin",6.61,74,"AM(L), FW",19,2,3.2,0,6,1.5,93.47368421052632
Alexis Sánchez,6.6,85,"M(CLR), FW",9,3,0.4,0,1,0.9,97.44444444444444
Adama Traoré,6.59,72,"M(R), FW",8,1,0.8,1,1,0.7,112.0
André Schürrle,6.59,77,"M(CLR), FW",21,0,0.6,1,6,2.3,78.57142857142857
Divock Origi,6.57,77,"AM(LR), FW",4,1,0.3,0,3,1.1,92.0
Álvaro Morata,6.56,82,"AM(L), FW",11,0,1.1,0,5,2.2,85.72727272727273
Josh Murphy,6.54,72,"AM(LR), FW",22,2,0.4,1,3,1.6,83.0
Theo Walcott,6.51,79,"M(CLR), FW",24,2,0.4,0,5,1.2,88.5
Demarai Gray,6.51,76,"AM(CLR), FW",23,1,0.3,0,4,1.4,86.78260869565217
Shane Long,6.5,73,"AM(R), FW",12,1,2.8,1,5,1.2,105.91666666666667
Dominic Solanke,6.5,70,FW,2,1,1.5,0,0,1.1,171.0
Jordan Ayew,6.5,76,"AM(CLR), FW",14,2,1.6,1,1,1.4,84.78571428571429
Fernando Llorente,6.49,76,FW,6,4,2.7,0,1,1.2,114.16666666666667
Max Meyer,6.49,79,"M(CL), FW",15,2,0.1,0,1,1.3,94.33333333333333
Luciano Vietto,6.48,76,"AM(R), FW",10,4,0.3,0,1,1.2,98.7
Ademola Lookman,6.47,73,"AM(CLR), FW",3,2,0.3,0,0,0.6,200.66666666666666
David Junior Hoilett,6.46,74,"M(CLR), FW",23,1,0.6,0,3,1.3,93.17391304347827
Cenk Tosun,6.44,79,FW,10,3,1.5,0,3,1.5,105.0
Olivier Giroud,6.43,82,FW,7,4,1.4,0,2,1.2,119.14285714285714
Oumar Niasse,6.43,75,FW,12,0,2.9,0,0,1.3,78.33333333333333
"Bobby De Cordova0,00Reid",6.41,73,"M(C), FW",16,2,0.4,1,5,1.0,88.9375
Daniel Sturridge,6.41,80,"M(R), FW",4,1,0.2,0,2,1.0,125.0
Michael Obafemi,6.41,63,Forward,1,1,0.0,0,1,1.2,136.0
Joselu,6.41,74,FW,5,0,2.7,0,2,1.1,117.4
Danny Welbeck,6.39,77,"AM(CLR), FW",1,1,0.9,0,1,0.5,148.0
Andre Gray,6.35,76,FW,13,2,0.6,0,7,1.2,104.76923076923077
Ivan Cavaleiro,6.35,75,"AM(CLR), FW",6,1,0.4,0,3,0.6,114.5
Aboubakar Kamara,6.35,71,"AM(R), FW",5,0,0.9,0,3,1.6,138.0
Andy Carroll,6.33,77,FW,3,0,3.8,0,0,1.2,152.0
Isaac Success,6.32,73,"AM(LR), FW",9,1,1.0,0,1,1.0,115.44444444444444
Lucas Pérez,6.32,78,"AM(CR), FW",4,0,0.2,0,3,0.6,117.25
Rajiv van La Parra,6.32,72,"AM(LR), FW",5,0,0.2,0,0,1.0,81.4
Kenneth Zohore,6.31,72,FW,7,1,2.2,0,1,0.9,106.71428571428571
Vincent Janssen,6.3,75,FW,0,0,1.0,0,0,1.0,
Danny Ward,6.29,73,"AM(CL), FW",4,0,2.2,0,1,0.8,110.0
Eddie Nketiah,6.29,64,Forward,0,0,0.0,0,1,0.6,
Cesc Fàbregas,6.28,83,"M(CL), FW",1,0,0.3,0,0,0.2,176.0
Jürgen Locadia,6.27,75,"AM(LR), FW",12,0,0.9,0,2,1.1,102.5
Charlie Austin,6.27,77,FW,11,2,1.7,0,2,1.3,89.18181818181819
Manolo Gabbiadini,6.25,77,"AM(CLR), FW",4,0,0.7,1,1,1.7,117.75
Floyd Ayité,6.24,70,"M(CLR), FW",3,0,0.4,0,1,0.4,156.0
Yoshinori Muto,6.23,76,FW,5,0,0.6,0,1,0.4,103.8
Florin Andone,6.22,77,FW,8,0,1.6,0,3,0.8,109.5
Kelechi Iheanacho,6.22,75,"AM(C), FW",9,3,0.5,0,1,0.6,103.44444444444444
Laurent Depoitre,6.22,75,FW,10,1,3.5,0,0,1.3,106.2
Fousseni Diabaté,6.19,70,"AM(R), FW",1,0,1.0,0,0,0.0,55.0
Matej Vydra,6.17,74,"AM(CL), FW",3,1,0.4,0,1,0.5,104.33333333333333
Connor Wickham,6.16,71,"AM(L), FW",0,1,1.2,0,0,0.8,
Alexander Sørloth,6.16,70,FW,0,0,1.5,0,0,0.3,
Elias Kachunga,6.14,71,"AM(CLR), FW",13,0,1.2,0,0,0.7,90.92307692307692
Isaac Mbenza,6.14,72,"AM(LR), FW",10,1,0.1,0,1,0.7,98.4
Léo Bonatini,6.13,73,FW,0,1,0.1,0,0,1.3,
Xande Silva,6.12,67,Forward,0,0,1.0,0,0,2.0,
Lys Mousset,6.11,70,FW,1,0,0.4,0,1,0.5,351.0
Shinji Okazaki,6.1,75,"AM(CLR), FW",1,1,0.4,0,0,0.2,271.0
Adama Diakhaby,6.08,73,"AM(LR), FW",6,0,0.5,0,0,0.6,92.16666666666667
Oumar Niasse,6.06,75,FW,0,0,0.6,0,0,0.6,
Sam Gallagher,6.02,69,"AM(LR), FW",0,0,0.8,0,0,0.0,
Gary Madine,5.99,69,FW,0,0,0.6,0,0,0.0,
Jermain Defoe,5.98,77,"AM(R), FW",0,0,0.0,0,0,0.3,
Collin Quaner,5.97,68,"AM(R), FW",0,0,0.0,0,0,0.0,
Stefano Okaka,5.97,74,FW,0,0,0.5,0,0,1.0,
Bakary Sako,5.96,79,"M(L), FW",0,0,0.0,0,0,0.0,
Cristiano Ronaldo,7.68,94,"M(L), FW",30,8,1.1,10,21,5.7,89.63333333333334
Alejandro Gómez,7.64,84,"M(CL), FW",34,11,0.3,7,7,3.0,85.67647058823529
Josip Ilicic,7.39,81,"AM(CLR), FW",23,7,0.2,4,12,3.3,93.52173913043478
Suso,7.39,83,"AM(CLR), FW",35,10,0.1,7,7,2.7,86.6
Rodrigo de Paul,7.37,83,"AM(CLR), FW",36,8,0.1,6,9,2.4,88.72222222222223
Mario Mandzukic,7.34,84,"M(L), FW",23,6,2.9,3,9,1.2,87.82608695652173
Duván Zapata,7.32,78,FW,32,7,1.8,4,23,3.2,90.625
Leonardo Pavoletti,7.32,78,FW,31,1,7.4,9,16,2.6,88.3225806451613
Stephan El Shaarawy,7.26,81,"AM(CLR), FW",23,3,0.8,4,11,2.5,91.69565217391305
Edin Dzeko,7.24,85,FW,28,6,4.0,6,9,4.0,92.0
Andrea Belotti,7.23,82,FW,37,3,4.1,6,15,3.4,89.21621621621621
Dries Mertens,7.2,87,"AM(CLR), FW",23,11,0.2,4,16,2.5,97.95652173913044
Lorenzo Insigne,7.16,88,"AM(CL), FW",24,6,0.1,3,10,4.3,86.66666666666667
Arkadiusz Milik,7.13,81,FW,27,3,1.3,4,17,3.2,88.81481481481481
Hakan Calhanoglu,7.12,80,"M(CLR), FW",34,6,0.7,2,3,2.8,85.23529411764706
Fabio Quagliarella,7.11,81,FW,37,8,0.7,6,26,3.8,86.78378378378379
Paulo Dybala,7.08,89,"AM(CR), FW",24,4,0.1,4,5,2.2,89.04166666666667
Luis Alberto,7.05,82,"AM(CL), FW",25,5,0.6,3,4,2.5,80.12
Christian Kouamé,7.05,71,"AM(L), FW",33,5,5.2,1,4,2.3,93.0909090909091
Stefano Okaka,7.04,74,FW,11,1,3.4,1,6,1.1,88.36363636363636
Joaquín Correa,7.03,78,"AM(CL), FW",18,6,0.6,1,5,2.1,106.61111111111111
Domenico Berardi,6.98,78,"AM(R), FW",32,4,0.7,3,8,3.6,90.15625
Federico Chiesa,6.98,78,"M(CLR), FW",34,3,0.4,3,6,3.6,89.3529411764706
Diego Farias,6.97,73,"AM(CLR), FW",16,4,0.2,0,4,2.3,75.25
Ciro Immobile,6.96,87,FW,31,6,0.5,3,15,3.4,92.19354838709677
Federico Santander,6.92,74,FW,23,3,5.1,5,8,2.4,89.69565217391305
Rodrigo Palacio,6.92,77,"AM(CLR), FW",26,6,1.4,0,3,1.6,89.8076923076923
Matteo Politano,6.92,81,"AM(LR), FW",31,6,0.2,0,5,2.2,82.83870967741936
Diego Perotti,6.89,81,"M(CLR), FW",6,0,0.3,1,5,1.2,110.83333333333333
Gervinho,6.88,78,"M(LR), FW",27,2,0.0,3,11,1.5,85.55555555555556
Luis Muriel,6.87,80,"AM(CL), FW",16,0,0.8,1,6,2.4,90.25
Ignacio Pussetto,6.86,74,"AM(CLR), FW",24,4,2.7,3,4,1.6,90.91666666666667
Juan Cuadrado,6.85,84,"D(R), M(CLR), FW",14,2,0.5,2,1,0.9,87.42857142857143
Gonzalo Higuaín,6.85,88,FW,15,1,0.7,0,6,3.7,85.33333333333333
Mauro Icardi,6.84,87,FW,24,4,1.6,2,11,2.5,94.58333333333333
Iago Falque,6.83,80,"AM(CLR), FW",19,4,0.2,1,6,2.2,85.15789473684211
Gregoire Defrel,6.82,78,"AM(CR), FW",26,3,0.6,3,11,1.3,90.11538461538461
Nicola Sansone,6.81,76,"AM(LR), FW",13,4,0.5,1,2,2.0,87.92307692307692
Andrea Petagna,6.81,76,FW,35,1,1.1,1,16,2.5,86.94285714285714
Jeremie Boga,6.8,71,"AM(CLR), FW",14,1,0.1,0,3,1.1,102.85714285714286
Roberto Inglese,6.78,77,FW,23,1,2.4,1,9,1.9,85.56521739130434
Gianluca Caprari,6.76,73,"AM(CLR), FW",12,2,0.0,2,6,1.4,86.16666666666667
Francesco Caputo,6.71,75,FW,38,3,0.7,1,16,2.5,90.0
"Kevin0,00Prince Boateng",6.71,81,"M(CLR), FW",11,1,1.6,0,4,2.2,85.63636363636364
Camillo Ciano,6.71,75,"AM(C), FW",28,4,0.7,2,7,2.3,87.96428571428571
Miha Zajc,6.7,75,"AM(C), FW",12,2,0.4,0,3,2.8,97.08333333333333
Moise Kean,6.69,72,FW,5,0,0.5,1,6,1.5,107.2
Federico Bernardeschi,6.68,82,"M(CLR), FW",14,3,0.3,0,2,1.9,105.42857142857143
Felipe Caicedo,6.68,77,FW,17,2,0.9,1,8,1.5,81.05882352941177
Marek Hamsik,6.66,87,"M(C), FW",12,0,0.6,0,0,1.2,76.83333333333333
João Pedro,6.65,76,"AM(C), FW",30,2,2.1,1,7,1.8,85.7
Riccardo Meggiorini,6.65,74,FW,18,1,4.0,1,3,1.4,86.11111111111111
Giovanni Simeone,6.64,78,"AM(R), FW",27,3,1.1,1,6,1.8,91.07407407407408
Lautaro Martínez,6.64,79,FW,13,2,1.3,0,6,2.4,102.84615384615384
Fabio Borini,6.6,76,"M(LR), FW",10,2,1.2,0,2,1.5,104.9
Luca Siligardi,6.6,71,"AM(LR), FW",19,2,0.5,1,1,1.3,86.57894736842105
Manolo Gabbiadini,6.6,77,"AM(CLR), FW",8,2,0.8,0,4,1.7,100.875
Patrik Schick,6.58,77,"AM(R), FW",15,0,2.1,1,3,1.4,87.66666666666667
Andrea Pinamonti,6.57,64,FW,17,3,2.3,1,5,2.2,95.41176470588235
Valter Birsa,6.57,80,"M(CLR), FW",12,2,0.5,0,2,0.9,91.91666666666667
Kevin Lasagna,6.55,77,"AM(L), FW",26,2,2.4,0,6,1.8,94.26923076923077
Khouma Babacar,6.53,75,FW,16,2,1.1,1,7,2.1,93.125
Daniel Ciofani,6.5,73,FW,17,2,3.3,0,5,1.7,95.94117647058823
Sergio Floccari,6.49,74,FW,11,1,1.2,1,3,1.2,88.63636363636364
Antonio Sanabria,6.48,79,FW,9,0,1.9,0,3,2.1,85.11111111111111
Simone Zaza,6.48,81,FW,11,3,1.9,0,4,1.9,129.45454545454547
Simone Verdi,6.48,81,"AM(CLR), FW",9,3,0.1,1,3,0.9,77.88888888888889
Goran Pandev,6.47,75,"M(CR), FW",12,2,0.4,1,4,1.0,93.5
Filip Djuricic,6.46,74,"AM(CLR), FW",16,1,0.6,1,2,0.7,78.8125
Jonathan Biabiany,6.44,74,"M(LR), FW",12,0,1.0,0,0,0.2,89.08333333333333
Iuri Medeiros,6.44,76,"AM(CR), FW",2,0,0.5,0,0,1.0,54.0
Antonino La Gumina,6.43,68,FW,12,2,0.8,2,2,1.2,90.91666666666667
Marko Pjaca,6.43,76,"AM(L), FW",8,1,0.6,0,1,1.0,93.25
Kevin Mirallas,6.42,68,"M(CLR), FW",15,1,0.3,0,2,1.1,86.66666666666667
Sergio Pellissier,6.41,72,FW,12,1,1.4,0,4,1.4,79.5
Mirco Antenucci,6.4,76,"AM(C), FW",22,0,1.1,0,5,1.4,96.63636363636364
Andrea Favilli,6.38,69,Forward,0,2,1.5,0,0,0.8,
Gianluca Lapadula,6.37,76,FW,4,0,2.9,0,1,3.0,100.75
Mariusz Stepinski,6.35,73,FW,27,2,1.5,0,6,1.7,91.70370370370371
Diego Farias,6.35,73,"AM(CLR), FW",7,0,0.3,0,3,1.4,100.0
Alberto Cerri,6.32,72,FW,7,0,3.2,0,0,1.5,95.28571428571429
Roberto Piccoli,6.32,77,Forward,0,0,2.5,0,0,1.0,
Patrick Cutrone,6.31,71,FW,12,2,0.5,0,3,1.0,119.83333333333333
Gabriele Moncini,6.3,67,Forward,0,0,1.0,0,0,0.0,
Musa Barrow,6.3,68,FW,6,2,0.5,0,1,1.4,98.66666666666667
Mattia Destro,6.29,76,FW,5,1,1.2,1,4,0.7,98.0
Vitalie Damascan,6.29,65,FW,0,0,0.0,0,0,0.0,
Joel Campbell,6.29,76,"AM(LR), FW",11,3,0.1,0,0,0.8,81.27272727272727
Valter Birsa,6.27,80,"M(CLR), FW",4,0,0.0,0,0,0.9,87.25
Diego Falcinelli,6.25,74,FW,8,1,1.2,0,0,1.0,88.375
Alessandro Matri,6.23,72,FW,6,0,0.4,0,2,0.8,99.33333333333333
Cyril Théréau,6.21,76,"AM(CL), FW",1,0,1.6,0,0,0.4,123.0
Dawid Kownacki,6.19,70,"AM(L), FW",0,1,0.5,0,1,0.5,
Federico Dionisi,6.18,73,"AM(L), FW",1,0,0.4,0,1,1.2,197.0
Lukasz Teodorczyk,6.18,76,FW,2,0,1.3,0,1,0.8,195.5
Fabio Ceravolo,6.18,72,FW,12,0,0.9,0,2,0.8,98.58333333333333
Joaquín Ardáiz,6.16,63,Forward,0,0,1.0,0,0,0.0,
Stipe Perica,6.16,72,FW,6,0,2.7,0,0,1.7,77.83333333333333
Samuel Mráz,6.15,68,Forward,2,0,0.5,0,1,0.3,84.0
Marcello Trotta,6.15,72,"AM(R), FW",4,0,0.3,0,0,0.7,98.75
Alberto Paloschi,6.15,76,FW,8,0,0.3,0,2,0.4,106.5
Yann Karamoh,6.11,75,"AM(R), FW",0,0,0.0,0,0,0.0,
Marco Sau,6.09,73,"AM(C), FW",5,0,0.1,0,1,0.6,110.8
Levan Mchedlidze,6.09,70,FW,0,1,0.5,0,0,0.4,
Marco Sau,6.09,73,"AM(C), FW",0,0,0.2,0,0,0.0,
Riccardo Sottil,6.04,57,Forward,0,0,0.0,0,0,0.5,
Manuel Pucciarelli,6.02,74,FW,3,0,0.2,0,0,0.1,99.66666666666667
Felipe Vizeu,6.01,75,FW,0,0,0.2,0,0,0.2,
Marco Tumminello,6.01,63,Forward,0,0,0.5,0,0,0.5,
Cyril Théréau,6,76,"AM(CL), FW",0,0,0.0,0,0,0.5,
Jens Odgaard,6,62,Forward,0,0,0.0,0,0,0.0,
Marcello Trotta,6,72,"AM(R), FW",0,0,0.0,0,0,0.0,
Vincenzo Millico,6,60,Forward,0,0,0.0,0,0,0.0,
Dusan Vlahovic,5.96,61,Forward,1,0,0.2,0,0,1.0,152.0
Alejandro Rodriguez,5.96,71,FW,0,0,0.0,0,0,1.0,
Pedro Neto,5.95,62,Forward,0,0,0.0,0,0,0.3,
Luca Matarese,5.92,61,Forward,0,0,0.0,0,0,0.0,
manipulation,string,string,string,0,0,0.0,0,0,0.0,
