Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,Table,"Shots per 
game"
Patrick van Aanholt,6.71,76,"D(L), M(L)",36.0,3198.0,2.0,3.0,0.0,0.3,0.0,1.3,1.1,0.3,0.2,2.3,0.4,0.3,0.0,3.0,1.3,0.6,0.4,0.3,0.4,1.0,1.0,44.7,79.8,0.3,1.9,0.1,Data,0.5562858827919068
Adam Smith,6.71,76,"D(LR), M(R)",25.0,2073.0,1.0,5.0,1.0,1.1,0.0,1.8,1.2,0.7,0.2,2.3,0.9,0.3,0.0,1.0,0.3,0.8,1.7,0.0,0.4,1.0,0.4,34.9,82.0,0.2,0.9,0.0,Data,0.5562858827919068
Aaron Cresswell,6.68,76,"D(CL), M(L)",18.0,1591.0,1.0,1.0,0.0,1.3,0.0,1.5,1.2,0.1,0.4,2.1,0.6,0.4,0.0,0.0,0.6,0.3,0.6,0.1,0.3,0.7,0.9,40.6,81.4,0.8,1.5,0.0,Data,0.5562858827919068
Marc Albrighton,6.68,76,M(LR),18.0,1627.0,2.0,3.0,0.0,0.6,0.0,1.3,0.9,0.4,0.0,0.9,0.7,0.1,0.0,2.0,0.7,0.7,0.7,0.1,0.9,1.3,1.1,23.0,65.9,0.8,1.7,0.0,Data,0.5562858827919068
Christian Benteke,6.66,76,FW,9.0,813.0,1.0,1.0,0.0,5.6,1.0,0.3,0.0,1.1,0.0,0.9,0.2,0.1,0.0,1.0,1.6,0.3,0.6,0.6,0.9,1.7,0.6,14.9,56.9,0.0,0.4,0.0,Data,0.5562858827919068
Dale Stephens,6.66,76,M(C),29.0,2487.0,1.0,6.0,1.0,0.9,1.0,2.8,1.5,1.5,0.0,1.5,1.5,0.4,0.0,1.0,0.4,0.2,0.3,0.0,0.5,0.9,0.6,45.1,83.7,0.0,4.1,0.0,Data,0.5562858827919068
Mark Noble,6.65,76,M(C),29.0,2308.0,5.0,6.0,1.0,0.3,0.0,1.5,0.7,0.7,0.0,0.4,1.2,0.1,0.0,5.0,0.5,0.5,1.2,0.0,1.1,0.9,0.7,48.6,85.3,0.2,4.4,0.2,Data,0.5562858827919068
Anthony Knockaert,6.64,76,AM(LR),18.0,1833.0,6.0,4.0,1.0,0.5,0.0,1.1,1.0,0.7,0.0,0.2,0.6,0.0,0.0,2.0,0.9,1.0,0.6,0.1,1.0,1.7,1.2,20.5,76.9,1.3,1.3,0.0,Data,0.5562858827919068
Sam Vokes,6.63,76,FW,10.0,916.0,0.0,0.0,0.0,6.3,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.1,0.0,3.0,1.1,0.2,0.5,0.4,0.7,1.4,0.4,13.4,50.7,0.0,0.1,0.0,Data,0.5562858827919068
Federico Fernández,6.62,76,D(C),17.0,1484.0,1.0,2.0,0.0,2.0,0.0,0.8,1.3,0.6,0.3,5.4,0.4,0.6,0.0,0.0,0.2,0.0,0.4,0.1,0.2,0.4,0.3,32.2,78.9,0.1,3.8,0.0,Data,0.5562858827919068
Cheikhou Kouyaté,6.61,76,"D(CR), DMC",21.0,1897.0,2.0,3.0,0.0,2.1,0.0,1.9,0.5,1.1,0.1,1.0,0.8,0.4,0.0,0.0,0.6,0.4,0.5,0.1,0.7,0.8,0.5,24.7,80.1,0.0,0.6,0.0,Data,0.5562858827919068
Mason Holgate,6.61,76,"D(CR), M(R)",4.0,407.0,0.0,1.0,0.0,2.8,0.0,1.0,0.6,0.4,1.0,6.2,0.0,0.4,0.0,0.0,0.0,0.4,1.4,0.2,0.4,0.2,0.0,50.6,76.7,0.0,5.2,0.0,Data,0.5562858827919068
Jonathan Hogg,6.6,76,DMC,29.0,2377.0,1.0,8.0,1.0,1.1,0.0,2.7,2.5,2.0,0.0,0.6,1.4,0.2,0.0,0.0,0.3,0.3,1.2,0.0,0.7,1.1,0.6,53.3,83.2,0.1,2.4,0.0,Data,0.5562858827919068
Matteo Darmian,6.59,76,"D(CLR), M(LR)",5.0,444.0,0.0,0.0,0.0,0.5,0.0,2.3,1.2,0.5,0.3,3.2,1.2,0.0,0.0,0.0,0.2,0.2,0.7,0.2,0.3,0.5,0.3,29.2,85.1,0.2,1.3,0.0,Data,0.5562858827919068
Ki Sung-yueng,6.57,76,"DMC, DMC",14.0,1302.0,1.0,2.0,0.0,0.8,0.0,0.8,1.1,0.6,0.0,1.1,0.5,0.1,0.0,0.0,0.5,0.3,0.9,0.0,0.6,0.7,0.9,33.2,85.1,0.8,2.9,0.0,Data,0.5562858827919068
Kiko Femenía,6.55,76,"D(R), M(R)",22.0,2046.0,1.0,1.0,0.0,0.4,0.0,1.7,1.2,0.4,0.2,2.2,0.9,0.2,0.0,1.0,0.2,0.4,0.5,0.1,0.4,0.7,0.4,31.9,83.1,0.5,1.1,0.0,Data,0.5562858827919068
Kenedy,6.53,76,"D(L), M(L)",14.0,1345.0,1.0,1.0,0.0,0.3,1.0,1.2,1.3,0.8,0.0,0.8,0.7,0.0,0.0,1.0,1.2,1.2,0.9,0.2,1.6,1.7,0.4,18.5,72.3,0.4,0.7,0.0,Data,0.5562858827919068
Demarai Gray,6.51,76,"AM(CLR), FW",23.0,1996.0,1.0,2.0,0.0,0.3,0.0,0.7,0.3,0.4,0.0,0.4,0.3,0.0,0.0,4.0,1.4,1.2,0.4,0.1,1.1,1.7,0.5,19.3,77.6,0.1,0.6,0.0,Data,0.5562858827919068
DeAndre Yedlin,6.5,76,"D(R), M(R)",28.0,2475.0,2.0,6.0,1.0,1.0,0.0,1.9,1.0,1.4,0.2,2.4,0.8,0.3,1.0,1.0,0.4,0.3,0.4,0.1,0.3,1.2,1.0,25.2,71.6,0.6,0.9,0.0,Data,0.5562858827919068
Jordan Ayew,6.5,76,"AM(CLR), FW",14.0,1187.0,2.0,3.0,0.0,1.6,1.0,1.9,0.4,1.6,0.0,0.3,0.7,0.0,0.0,1.0,1.4,0.6,1.3,0.5,1.6,2.4,0.8,13.3,77.7,0.0,0.3,0.0,Data,0.5562858827919068
Fernando Llorente,6.49,76,FW,6.0,685.0,4.0,2.0,0.0,2.7,0.0,0.2,0.1,0.6,0.0,0.5,0.1,0.1,1.0,1.0,1.2,0.3,0.3,0.3,0.6,1.4,0.7,11.2,66.4,0.0,0.2,0.0,Data,0.5562858827919068
Luciano Vietto,6.48,76,"AM(R), FW",10.0,987.0,4.0,1.0,0.0,0.3,0.0,0.8,0.3,0.7,0.0,0.3,0.8,0.0,0.0,1.0,1.2,0.8,1.0,0.0,1.3,1.3,1.1,19.3,78.8,0.4,0.2,0.1,Data,0.5562858827919068
Aaron Lennon,6.38,76,M(LR),14.0,1217.0,1.0,1.0,0.0,0.1,1.0,1.6,0.6,0.8,0.0,0.8,0.5,0.0,0.0,1.0,0.3,0.4,1.0,0.0,0.8,0.9,0.4,17.4,78.8,0.2,0.3,0.0,Data,0.5562858827919068
Mousa Dembélé,6.38,76,M(CR),7.0,516.0,0.0,1.0,0.0,0.6,0.0,1.3,0.7,1.2,0.1,0.5,0.3,0.1,0.0,0.0,0.1,0.7,0.3,0.0,0.7,0.9,0.0,30.8,89.6,0.0,0.4,0.0,Data,0.5562858827919068
Diego Rico,6.36,76,"D(L), M(L)",5.0,606.0,0.0,1.0,0.0,0.6,0.0,1.2,1.2,0.8,0.1,1.4,0.7,0.2,0.0,0.0,0.8,0.3,0.9,0.0,0.4,0.3,0.9,23.8,72.6,0.9,0.7,0.0,Data,0.5562858827919068
Andre Gray,6.35,76,FW,13.0,1362.0,2.0,2.0,0.0,0.6,0.0,0.1,0.1,0.4,0.0,0.1,0.2,0.0,0.0,7.0,1.2,0.3,0.3,0.5,0.7,1.9,0.5,8.1,65.7,0.1,0.1,0.0,Data,0.5562858827919068
Tom Cleverley,6.35,76,M(CLR),4.0,472.0,0.0,2.0,0.0,0.3,0.0,1.3,0.4,0.6,0.0,0.8,1.2,0.0,0.0,1.0,0.3,0.1,0.3,0.1,0.3,0.4,0.1,17.0,78.7,0.1,0.9,0.0,Data,0.5562858827919068
Håvard Nordtveit,6.29,76,"D(CR), DMC",4.0,361.0,1.0,0.0,0.0,0.8,0.0,1.8,1.6,1.0,0.4,2.8,0.2,0.6,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.6,45.0,83.1,0.0,4.2,0.0,Data,0.5562858827919068
Yoshinori Muto,6.23,76,FW,5.0,519.0,0.0,1.0,0.0,0.6,0.0,0.5,0.4,0.8,0.0,0.2,0.3,0.0,0.0,1.0,0.4,0.5,0.6,0.1,0.7,0.9,0.3,6.6,70.8,0.0,0.1,0.0,Data,0.5562858827919068
Nathaniel Chalobah,6.07,76,DMC,3.0,267.0,0.0,2.0,0.0,0.4,0.0,0.3,0.6,0.6,0.0,0.8,0.6,0.1,0.0,0.0,0.2,0.0,0.3,0.0,0.3,0.9,0.1,12.4,75.0,0.1,0.4,0.0,Data,0.5562858827919068
Armando Izzo,7.24,76,D(C),37.0,3274.0,1.0,6.0,0.0,3.2,6.0,2.1,2.4,1.5,0.1,3.8,0.5,0.6,0.0,4.0,0.7,0.2,1.6,0.1,0.3,0.4,0.3,49.5,77.8,0.1,4.3,0.0,Data,0.5562858827919068
Kevin Malcuit,7.11,76,"D(R), M(R)",20.0,1806.0,2.0,3.0,0.0,0.8,1.0,1.8,1.9,1.0,0.1,2.3,0.5,0.2,0.0,0.0,0.5,1.4,0.9,0.1,0.8,1.6,0.9,41.2,85.9,1.0,1.4,0.0,Data,0.5562858827919068
Remo Freuler,7.02,76,DMC,35.0,3030.0,6.0,4.0,0.0,1.0,0.0,2.4,1.1,1.2,0.1,1.1,1.2,0.3,0.0,2.0,0.9,0.7,2.1,0.0,1.1,1.5,1.3,62.9,88.2,0.1,2.1,0.1,Data,0.5562858827919068
Marten de Roon,7.0,76,DMC,34.0,2977.0,3.0,8.0,0.0,1.5,1.0,2.9,1.5,1.8,0.1,1.3,1.7,0.3,0.0,2.0,0.8,0.2,0.4,0.0,0.3,0.6,0.9,62.5,87.5,0.2,3.5,0.0,Data,0.5562858827919068
Albin Ekdal,6.99,76,M(C),30.0,2652.0,0.0,6.0,0.0,1.8,1.0,1.9,1.7,1.4,0.0,1.9,1.0,0.4,0.0,0.0,0.5,1.1,2.1,0.0,1.0,0.9,0.6,51.5,86.5,0.1,1.7,0.0,Data,0.5562858827919068
Dalbert,6.99,76,"D(L), M(L)",9.0,778.0,1.0,2.0,0.0,2.2,1.0,3.0,0.7,0.8,0.0,1.2,0.8,0.3,0.0,0.0,0.5,0.3,1.5,0.0,0.6,0.7,0.9,37.5,79.9,1.0,1.9,0.0,Data,0.5562858827919068
Dennis Praet,6.99,76,AM(C),33.0,2896.0,3.0,6.0,0.0,0.6,1.0,1.9,1.1,0.7,0.0,0.8,0.7,0.1,0.0,2.0,1.0,1.1,1.2,0.0,1.5,1.2,1.1,51.1,87.3,0.8,1.3,0.1,Data,0.5562858827919068
Cristiano Biraghi,6.92,76,"D(L), M(L)",36.0,3196.0,4.0,8.0,0.0,1.1,1.0,1.4,1.2,1.0,0.2,2.5,0.6,0.5,0.0,1.0,0.9,0.4,0.7,0.1,0.3,1.1,1.7,37.3,75.9,1.7,1.8,0.0,Data,0.5562858827919068
Soualiho Meité,6.88,76,AM(C),30.0,2663.0,4.0,7.0,1.0,2.4,1.0,1.3,0.8,1.7,0.0,0.6,0.7,0.2,0.0,2.0,0.9,1.5,1.5,0.0,1.3,1.9,0.9,32.8,82.2,0.2,1.6,0.1,Data,0.5562858827919068
Vitor Hugo,6.87,76,D(C),27.0,2469.0,2.0,7.0,1.0,2.5,1.0,2.1,2.5,1.4,0.6,4.5,0.3,0.4,0.0,0.0,0.5,0.1,0.6,0.0,0.1,0.4,0.2,43.2,87.0,0.0,2.4,0.0,Data,0.5562858827919068
José Luis Palomino,6.84,76,D(C),25.0,2262.0,1.0,5.0,1.0,2.0,0.0,1.6,2.3,1.0,0.5,2.5,0.5,0.6,0.0,1.0,0.3,0.2,0.2,0.0,0.1,0.4,0.2,43.3,88.3,0.1,2.2,0.0,Data,0.5562858827919068
Rômulo,6.84,76,"D(R), M(CR)",9.0,778.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.9,0.1,0.7,0.2,0.2,0.0,0.0,0.4,1.3,0.8,0.2,0.6,0.6,1.2,32.2,88.2,1.4,0.6,0.0,Data,0.5562858827919068
Nicola Sansone,6.81,76,"AM(LR), FW",13.0,1143.0,4.0,3.0,0.0,0.5,1.0,1.9,0.6,1.7,0.0,0.3,1.2,0.1,0.0,2.0,2.0,0.8,1.9,0.3,1.8,2.3,1.3,23.1,77.2,0.3,0.4,0.1,Data,0.5562858827919068
Andrea Petagna,6.81,76,FW,35.0,3043.0,1.0,8.0,0.0,1.1,1.0,0.4,0.1,1.2,0.0,0.4,0.2,0.2,0.0,16.0,2.5,0.8,1.3,0.2,2.4,2.3,0.8,20.2,79.6,0.3,1.3,0.0,Data,0.5562858827919068
Karol Linetty,6.79,76,M(C),30.0,2519.0,3.0,11.0,0.0,0.7,0.0,2.3,0.8,1.4,0.0,0.4,1.7,0.1,0.0,3.0,1.1,0.6,1.6,0.0,1.1,1.9,0.9,39.1,84.1,0.1,1.2,0.1,Data,0.5562858827919068
Rômulo,6.74,76,"D(R), M(CR)",17.0,1358.0,2.0,0.0,1.0,0.2,0.0,1.5,1.1,1.1,0.2,0.9,0.6,0.2,0.0,1.0,0.8,1.0,1.1,0.2,0.3,1.1,1.4,30.1,79.3,1.4,1.3,0.0,Data,0.5562858827919068
Omar Colley,6.74,76,D(C),21.0,1765.0,0.0,0.0,0.0,2.4,0.0,0.9,1.0,0.8,1.5,4.9,0.0,0.8,0.0,0.0,0.3,0.2,0.3,0.1,0.2,0.2,0.2,52.6,88.0,0.0,2.9,0.0,Data,0.5562858827919068
Valon Behrami,6.72,76,M(C),17.0,1368.0,0.0,6.0,0.0,1.3,1.0,3.4,0.9,2.4,0.0,1.3,1.4,0.6,0.0,1.0,0.5,0.3,1.8,0.0,0.9,0.8,0.3,24.4,82.1,0.0,0.3,0.0,Data,0.5562858827919068
João Pedro,6.65,76,"AM(C), FW",30.0,2571.0,2.0,4.0,1.0,2.1,1.0,0.5,0.2,1.4,0.0,0.4,0.2,0.1,0.0,7.0,1.8,0.6,1.6,0.3,1.2,1.7,1.0,21.6,74.5,0.5,0.6,0.0,Data,0.5562858827919068
Fabio Borini,6.6,76,"M(LR), FW",10.0,1049.0,2.0,3.0,0.0,1.2,0.0,0.7,0.6,0.7,0.0,0.9,0.3,0.0,0.0,2.0,1.5,0.4,1.7,0.2,1.0,1.4,0.7,17.0,71.8,0.0,0.9,0.0,Data,0.5562858827919068
Alex Berenguer,6.6,76,"D(LR), M(CL)",15.0,1479.0,3.0,4.0,0.0,0.5,0.0,1.0,0.3,0.9,0.0,0.3,0.7,0.0,0.0,2.0,0.7,1.1,1.1,0.1,1.6,1.7,1.2,19.3,77.1,0.7,0.8,0.0,Data,0.5562858827919068
Valentin Eysseric,6.59,76,AM(CLR),4.0,357.0,1.0,1.0,0.0,0.8,0.0,0.8,0.5,1.3,0.0,0.0,0.3,0.1,0.0,0.0,0.5,0.1,0.9,0.1,0.9,1.6,1.5,19.9,81.8,0.5,1.1,0.1,Data,0.5562858827919068
Davide Santon,6.57,76,D(LR),11.0,1005.0,1.0,0.0,0.0,0.5,0.0,0.8,0.9,0.9,0.1,0.9,0.2,0.4,0.0,0.0,0.2,0.8,0.6,0.0,0.2,0.8,0.8,33.0,87.3,0.4,0.9,0.1,Data,0.5562858827919068
Mario Pasalic,6.57,76,M(C),17.0,1619.0,3.0,1.0,0.0,1.4,0.0,1.0,0.4,0.6,0.0,0.3,0.7,0.1,0.0,5.0,1.1,0.5,0.3,0.1,0.9,1.4,0.7,30.0,83.0,0.1,1.8,0.0,Data,0.5562858827919068
Luca Rossettini,6.57,76,D(CR),20.0,1822.0,0.0,5.0,0.0,1.9,0.0,1.2,1.7,0.7,0.6,5.4,0.2,0.7,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.0,38.2,85.2,0.0,3.4,0.0,Data,0.5562858827919068
Federico Viviani,6.49,76,DMC,5.0,341.0,0.0,1.0,0.0,0.8,0.0,1.2,1.6,0.8,0.0,0.4,1.0,0.6,0.0,0.0,0.8,0.6,1.0,0.0,0.8,0.6,0.6,42.8,84.6,0.6,3.6,0.0,Data,0.5562858827919068
Federico Di Francesco,6.46,76,M(LR),14.0,1081.0,2.0,2.0,0.0,0.2,1.0,0.5,0.3,1.3,0.1,0.1,0.2,0.1,0.0,2.0,1.3,0.7,0.9,0.4,1.0,1.4,0.6,18.3,85.3,0.1,0.6,0.0,Data,0.5562858827919068
Luca Antonelli,6.46,76,"D(L), M(CL)",10.0,761.0,1.0,1.0,0.0,0.8,0.0,1.0,1.2,0.8,0.2,1.7,0.8,0.3,0.0,0.0,0.4,0.4,1.7,0.2,0.3,0.9,0.5,24.8,71.5,0.0,0.7,0.0,Data,0.5562858827919068
Iuri Medeiros,6.44,76,"AM(CR), FW",2.0,108.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.5,1.0,0.0,0.5,1.0,1.0,20.5,90.2,0.0,3.0,0.0,Data,0.5562858827919068
Marko Pjaca,6.43,76,"AM(L), FW",8.0,746.0,1.0,1.0,0.0,0.6,0.0,0.5,0.4,0.5,0.0,0.3,0.2,0.0,0.0,1.0,1.0,0.6,0.8,0.0,0.7,1.2,0.8,11.0,76.1,0.0,0.3,0.0,Data,0.5562858827919068
Matheus Pereira,6.41,76,Midfielder,1.0,91.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.3,0.3,0.0,0.0,0.7,0.7,13.0,84.6,0.3,0.3,0.0,Data,0.5562858827919068
Mirco Antenucci,6.4,76,"AM(C), FW",22.0,2126.0,0.0,0.0,0.0,1.1,0.0,0.3,0.1,0.8,0.0,0.1,0.3,0.0,0.0,5.0,1.4,0.6,1.1,0.5,1.3,2.2,0.7,14.5,79.7,0.1,0.3,0.0,Data,0.5562858827919068
Ladislav Krejci,6.39,76,M(L),11.0,1063.0,3.0,2.0,0.0,0.4,0.0,0.9,0.3,0.7,0.0,0.6,0.3,0.1,0.0,0.0,0.5,0.2,0.6,0.2,0.3,0.9,0.9,26.5,83.6,0.7,0.6,0.0,Data,0.5562858827919068
Valon Berisha,6.37,76,AM(C),1.0,192.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.4,0.0,0.4,0.3,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.3,0.8,0.5,17.5,87.1,0.3,0.3,0.0,Data,0.5562858827919068
Gianluca Lapadula,6.37,76,FW,4.0,403.0,0.0,1.0,0.0,2.9,0.0,0.3,0.1,2.0,0.0,0.1,0.5,0.0,0.0,1.0,3.0,0.5,1.3,1.3,0.9,1.4,0.5,9.3,66.2,0.0,0.1,0.0,Data,0.5562858827919068
Mattia Destro,6.29,76,FW,5.0,490.0,1.0,3.0,0.0,1.2,1.0,0.2,0.0,0.8,0.0,0.4,0.0,0.0,0.0,4.0,0.7,0.1,0.6,0.0,0.5,0.9,0.2,4.4,54.7,0.0,0.2,0.0,Data,0.5562858827919068
Joel Campbell,6.29,76,"AM(LR), FW",11.0,894.0,3.0,4.0,0.0,0.1,0.0,0.9,0.2,0.9,0.0,0.1,0.8,0.0,0.0,0.0,0.8,0.8,2.1,0.5,1.5,2.1,0.6,14.9,76.8,0.1,0.8,0.0,Data,0.5562858827919068
Godfred Donsah,6.23,76,DMC,1.0,148.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,1.2,0.3,0.3,0.0,0.0,0.3,0.8,0.2,0.0,0.0,0.3,0.2,9.7,84.5,0.0,0.3,0.0,Data,0.5562858827919068
Cyril Théréau,6.21,76,"AM(CL), FW",1.0,123.0,0.0,0.0,0.0,1.6,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,1.2,0.2,0.0,13.2,72.7,0.0,0.0,0.0,Data,0.5562858827919068
Andrea Ranocchia,6.18,76,D(C),0.0,61.0,0.0,1.0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.8,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,53.3,0.0,0.5,0.0,Data,0.5562858827919068
Lukasz Teodorczyk,6.18,76,FW,2.0,391.0,0.0,1.0,0.0,1.3,0.0,0.3,0.1,1.3,0.0,0.3,0.4,0.1,0.0,1.0,0.8,0.2,0.5,0.3,0.8,1.1,0.2,5.0,63.7,0.1,0.2,0.1,Data,0.5562858827919068
Riza Durmisi,6.17,76,"D(L), M(L)",2.0,319.0,1.0,4.0,0.0,0.1,0.0,0.4,0.1,0.7,0.0,0.6,0.1,0.0,0.0,0.0,0.4,0.1,0.4,0.0,0.0,0.6,1.0,12.5,77.6,0.2,0.3,0.0,Data,0.5562858827919068
Alberto Paloschi,6.15,76,FW,8.0,852.0,0.0,3.0,0.0,0.3,0.0,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.4,0.3,0.7,1.2,0.2,6.9,76.1,0.0,0.0,0.0,Data,0.5562858827919068
Jakub Jankto,6.15,76,AM(CL),7.0,949.0,0.0,2.0,0.0,0.2,0.0,0.3,0.4,0.3,0.0,0.5,0.4,0.1,0.0,0.0,0.9,0.0,0.2,0.0,0.2,0.3,0.2,20.2,82.8,0.3,0.5,0.0,Data,0.5562858827919068
Joelinton,7.21,75,FW,25.0,2136.0,5.0,5.0,0.0,2.3,1.0,1.3,0.5,2.0,0.0,0.3,0.7,0.1,0.0,7.0,2.0,1.7,1.0,0.1,2.2,2.9,1.5,24.7,79.3,0.2,0.3,0.1,Data,0.5562858827919068
Kevin Stöger,7.17,75,M(CL),24.0,2121.0,7.0,8.0,0.0,0.2,3.0,2.5,1.2,1.9,0.1,0.6,1.5,0.2,0.0,1.0,1.3,1.1,2.4,0.0,1.0,1.4,2.2,54.8,85.0,1.2,5.4,0.2,Data,0.5562858827919068
Ondrej Duda,7.02,75,"AM(C), FW",30.0,2575.0,5.0,7.0,0.0,1.0,5.0,1.7,0.5,2.4,0.0,0.4,1.3,0.1,0.0,11.0,1.7,1.2,1.4,0.2,1.3,2.3,1.3,37.6,76.9,0.5,1.4,0.1,Data,0.5562858827919068
Lukas Klostermann,7.01,75,"D(LR), M(R)",22.0,2003.0,1.0,1.0,0.0,1.6,2.0,1.9,1.1,0.7,0.5,2.4,0.6,0.2,0.0,5.0,0.5,0.3,0.4,0.0,0.3,0.4,0.8,30.6,74.0,0.3,1.5,0.0,Data,0.5562858827919068
Dan-Axel Zagadou,6.92,75,D(CL),15.0,1267.0,0.0,4.0,0.0,2.9,0.0,0.8,1.5,0.8,0.6,4.1,0.1,0.6,0.0,2.0,0.6,0.8,0.2,0.0,0.2,0.4,0.1,61.3,87.8,0.0,3.2,0.0,Data,0.5562858827919068
Tony Jantschke,6.87,75,"D(CR), DMC",10.0,932.0,1.0,0.0,0.0,2.2,0.0,1.1,1.9,0.4,0.5,3.4,0.1,0.5,0.0,0.0,0.3,0.1,0.9,0.0,0.1,0.2,0.1,57.4,90.0,0.0,3.0,0.0,Data,0.5562858827919068
Naldo,6.83,75,D(C),7.0,630.0,0.0,1.0,0.0,4.4,0.0,1.4,2.0,0.7,0.4,3.1,0.4,0.4,0.0,0.0,1.3,0.1,0.4,0.1,0.1,0.3,0.3,46.4,80.3,0.0,6.1,0.0,Data,0.5562858827919068
Kaan Ayhan,6.81,75,"D(C), DMC",28.0,2451.0,1.0,10.0,0.0,1.6,2.0,1.9,2.1,0.9,0.3,4.1,0.9,0.6,0.0,4.0,0.8,0.4,0.6,0.1,0.2,0.3,0.2,50.8,88.1,0.1,5.4,0.1,Data,0.5562858827919068
Marcelo Saracchi,6.77,75,D(L),7.0,652.0,1.0,2.0,0.0,1.7,0.0,1.9,1.2,1.6,0.6,1.4,0.6,0.1,0.0,0.0,0.1,0.8,0.4,0.1,0.9,1.1,1.1,39.3,71.5,1.8,1.6,0.0,Data,0.5562858827919068
Konrad Laimer,6.72,75,"D(R), M(CR)",20.0,1878.0,1.0,7.0,0.0,0.7,1.0,2.5,1.1,1.4,0.0,0.7,1.8,0.1,0.0,1.0,0.5,1.1,0.5,0.0,1.4,1.5,0.7,25.2,70.1,0.2,0.8,0.0,Data,0.5562858827919068
Genki Haraguchi,6.7,75,M(CLR),22.0,2127.0,3.0,1.0,0.0,1.0,0.0,1.6,0.8,1.1,0.0,0.9,1.8,0.2,0.0,0.0,1.1,1.6,1.3,0.0,1.0,0.9,1.0,26.3,78.1,0.4,0.9,0.0,Data,0.5562858827919068
Mathew Leckie,6.68,75,AM(CLR),10.0,940.0,0.0,3.0,0.0,2.7,0.0,1.1,0.7,1.0,0.0,0.7,0.5,0.1,0.0,2.0,1.2,0.6,1.0,0.2,1.0,1.9,0.7,18.6,68.7,0.3,0.3,0.1,Data,0.5562858827919068
Gonçalo Paciência,6.67,75,FW,4.0,388.0,1.0,1.0,0.0,1.6,1.0,0.3,0.0,1.5,0.0,0.1,0.1,0.1,0.0,3.0,1.7,0.5,1.0,0.2,1.1,1.4,0.4,8.5,61.3,0.1,0.3,0.1,Data,0.5562858827919068
Florian Neuhaus,6.65,75,M(C),25.0,2072.0,8.0,5.0,0.0,0.2,0.0,0.7,0.3,0.8,0.0,0.6,0.8,0.0,0.0,3.0,1.6,0.9,1.3,0.0,1.1,1.2,0.9,27.1,83.6,0.2,1.5,0.1,Data,0.5562858827919068
Gelson Fernandes,6.64,75,DMC,28.0,2236.0,0.0,9.0,1.0,1.2,0.0,2.6,1.9,2.0,0.0,0.6,1.5,0.3,0.0,1.0,0.1,0.2,0.2,0.0,0.5,0.5,0.1,30.1,83.4,0.0,0.4,0.0,Data,0.5562858827919068
Ibrahima Traoré,6.62,75,AM(LR),5.0,549.0,2.0,1.0,0.0,0.1,1.0,0.8,0.2,0.4,0.0,0.1,0.5,0.1,0.0,0.0,0.9,1.3,0.4,0.2,0.2,0.8,0.9,14.7,80.0,0.7,1.0,0.0,Data,0.5562858827919068
Josip Drmic,6.62,75,"AM(LR), FW",2.0,219.0,0.0,0.0,0.0,0.8,0.0,0.4,0.2,0.8,0.0,0.0,0.2,0.0,0.0,2.0,1.4,0.4,0.0,0.0,0.8,1.0,0.2,11.8,89.8,0.4,0.2,0.0,Data,0.5562858827919068
Konstantinos Stafylidis,6.61,75,"D(L), DMC, M(L)",11.0,922.0,0.0,1.0,0.0,0.6,0.0,1.8,1.3,0.6,0.2,2.2,0.8,0.2,0.0,0.0,0.8,0.3,0.8,0.0,0.2,0.4,0.8,36.8,80.3,0.6,3.9,0.0,Data,0.5562858827919068
Hanno Behrens,6.6,75,M(C),30.0,2643.0,1.0,3.0,0.0,3.5,1.0,1.5,1.1,1.3,0.0,1.5,0.9,0.4,0.0,4.0,1.3,0.3,0.8,0.1,0.5,1.4,0.7,30.2,67.6,0.0,1.1,0.1,Data,0.5562858827919068
Felipe,6.6,75,D(C),14.0,1098.0,0.0,4.0,1.0,1.8,0.0,1.4,2.1,1.1,0.4,4.1,0.5,0.5,0.0,2.0,0.6,0.1,1.0,0.0,0.2,0.2,0.0,29.1,74.7,0.0,2.4,0.0,Data,0.5562858827919068
