Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Marcel Sobottka,6.59,72,DMC,11,0,1.6,0,2.1,1.1,0.6,0,0.4,0.1,0.1,24.1,79.2,0.0,85.9090909090909
Martin Harnik,6.58,77,"M(LR), FW",10,2,1.2,0,0.7,0.4,0.6,4,1.6,0.3,0.7,14.3,63.0,0.1,82.9
Alfredo Morales,6.58,72,M(C),16,1,3.6,2,1.4,1.2,0.8,1,0.8,0.2,0.3,29.1,74.2,0.0,95.4375
Suat Serdar,6.58,74,M(C),20,1,0.8,1,2.0,0.2,1.3,2,1.2,1.4,0.6,16.8,71.6,0.0,86.85
Mahmoud Dahoud,6.57,80,M(C),7,0,0.4,0,1.1,0.6,0.9,1,0.8,0.5,0.6,32.1,83.1,0.0,99.28571428571429
Adam Bodzek,6.57,69,"D(C), DMC",20,1,1.7,0,2.1,1.9,1.2,0,0.1,0.1,0.4,32.8,84.0,0.0,80.2
Jérôme Gondorf,6.57,75,M(CR),13,2,0.8,0,1.3,0.8,0.6,2,0.9,0.2,0.8,18.4,72.9,0.5,99.6923076923077
Daniel Didavi,6.57,80,"AM(CR), FW",8,2,0.3,0,1.1,0.3,0.7,2,1.2,0.6,1.4,19.1,78.5,1.0,118.875
Renato Steffen,6.57,75,M(LR),18,1,0.7,0,0.8,0.4,0.3,5,0.9,0.6,0.5,16.7,76.0,0.3,83.72222222222223
Patrick Herrmann,6.56,77,"M(LR), FW",10,2,0.3,0,0.8,0.5,0.5,3,0.8,0.5,1.0,16.9,80.5,0.8,107.5
Per Skjelbred,6.56,77,M(CR),12,1,0.8,0,1.6,0.8,1.1,0,0.3,0.6,0.5,35.3,86.7,0.1,83.16666666666667
Tim Leibold,6.55,73,"D(L), M(CL)",32,2,1.1,0,1.9,1.6,1.2,0,0.9,0.8,1.2,38.8,78.0,0.7,86.5
Christian Gentner,6.55,77,M(CLR),24,5,1.3,1,2.1,1.2,1.2,0,1.0,0.4,0.6,33.7,71.6,0.4,84.33333333333333
Andre Hoffmann,6.55,72,"D(C), DMC",11,0,1.7,0,1.7,3.2,1.2,0,0.4,0.0,0.1,37.9,87.4,0.0,95.18181818181819
Gonzalo Castro,6.55,77,M(CR),19,4,0.5,0,2.0,0.8,1.0,2,0.5,0.2,1.2,32.0,77.0,1.1,89.15789473684211
Mike Frantz,6.54,73,"M(CLR), FW",29,1,1.6,0,1.1,0.9,0.5,2,0.6,0.2,0.5,19.2,78.2,0.4,77.0
Santiago Ascacibar,6.54,78,DMC,27,0,1.2,0,2.9,1.1,1.5,0,0.7,0.5,0.5,40.4,80.7,0.1,90.0
Ondrej Petrák,6.54,70,"D(C), DMC",18,0,2.0,0,1.6,1.0,0.5,0,0.6,0.2,0.3,32.2,85.5,0.0,90.22222222222223
Linton Maina,6.54,68,AM(LR),17,3,0.2,0,1.4,0.2,0.6,1,1.1,1.0,0.8,21.0,76.4,0.3,83.82352941176471
Kevin Vogt,6.54,81,"D(CR), M(C)",28,0,1.3,0,0.9,3.6,0.7,0,0.1,0.1,0.2,66.1,89.3,0.0,85.53571428571429
Alessandro Schöpf,6.53,77,M(CLR),11,0,0.3,0,1.7,0.7,1.1,1,1.2,1.1,0.9,28.7,80.7,0.2,91.18181818181819
Pablo Maffeo,6.53,78,"D(R), M(R)",8,0,1.0,0,1.8,1.0,0.9,0,0.5,1.3,0.5,26.5,76.4,0.8,75.25
Pablo De Blasis,6.53,75,"D(R), M(CLR)",1,0,2.0,0,2.0,0.0,1.0,0,1.0,0.0,1.0,28.0,60.7,1.0,90.0
Elvis Rexhbecaj,6.53,69,M(C),13,2,1.0,0,1.2,0.7,0.5,2,0.4,0.4,0.3,16.1,70.7,0.2,88.0
Raffael,6.52,81,"AM(CL), FW",5,1,0.2,0,0.6,0.0,0.4,2,0.8,0.8,1.2,16.2,83.4,0.1,106.8
Steven Skrzybski,6.52,73,"AM(CLR), FW",8,1,0.3,1,0.8,0.0,0.7,3,1.4,0.4,0.7,10.9,70.2,0.1,83.5
Marco Fabián,6.52,77,"AM(CR), FW",1,0,0.0,0,3.0,0.0,0.0,0,1.0,1.0,0.0,12.0,66.7,0.0,63.0
Oliver Sorg,6.52,73,"D(CLR), DMC, M(R)",18,0,0.5,0,2.2,2.3,1.2,0,0.2,0.5,0.3,38.3,75.5,0.3,87.94444444444444
Dennis Aogo,6.52,75,"D(L), M(CL)",13,0,0.7,0,1.0,1.3,0.6,0,0.7,0.3,1.0,34.5,87.0,1.1,79.07692307692308
Florent Muslija,6.51,68,Midfielder,6,0,0.0,0,0.9,0.1,0.2,2,1.2,0.9,0.9,16.8,79.0,0.3,112.66666666666667
Kevin Möhwald,6.5,73,AM(CR),7,1,0.5,0,0.7,0.6,0.7,3,0.9,0.4,0.4,21.2,81.7,0.0,123.28571428571429
Jean Zimmer,6.5,71,"D(R), M(R)",17,2,0.3,1,0.9,1.3,0.6,1,0.5,0.4,1.9,25.5,71.0,1.4,84.6470588235294
Franco Di Santo,6.5,75,"AM(CLR), FW",3,0,2.0,0,0.5,0.8,0.8,0,0.8,0.8,1.0,15.0,53.3,0.8,82.33333333333333
Claudio Pizarro,6.49,74,"AM(C), FW",3,2,1.4,0,0.3,0.3,0.1,5,1.0,0.3,0.4,10.0,69.9,0.1,225.66666666666666
Amir Abrashi,6.49,71,DMC,9,0,0.5,0,2.0,1.5,1.3,0,0.7,0.3,0.2,36.8,85.9,0.1,87.88888888888889
Takashi Usami,6.49,74,AM(LR),10,2,0.3,0,0.9,0.5,0.9,1,1.4,0.7,0.7,11.5,76.1,0.7,87.7
Jan Morávek,6.49,72,M(C),7,2,0.9,0,2.9,1.0,1.8,0,0.2,0.3,0.6,30.6,78.6,0.0,108.42857142857143
Mark Uth,6.49,80,"AM(CR), FW",15,1,0.7,1,1.0,0.6,1.0,2,2.0,0.9,0.7,18.4,72.5,0.1,93.93333333333334
Dominik Kohr,6.49,77,DMC,10,2,0.7,1,2.3,0.9,1.2,0,0.8,0.2,0.5,27.9,80.1,0.1,96.8
Philipp Mwene,6.49,71,"D(R), M(R)",2,0,0.7,0,1.2,1.5,0.2,0,0.2,0.2,0.5,16.2,72.2,0.7,135.5
Andreas Beck,6.48,74,"D(LR), M(R)",21,2,1.1,0,1.5,2.0,0.7,0,0.5,0.4,0.7,27.1,69.7,0.4,84.71428571428571
Marius Wolf,6.48,77,"D(R), M(CLR)",10,0,0.6,0,0.9,0.8,0.5,1,0.4,0.7,0.4,35.1,84.5,0.2,83.1
Bruma,6.47,79,AM(CLR),6,1,0.1,0,0.4,0.1,0.3,1,1.0,0.9,0.7,23.5,86.9,0.0,91.5
Steven Zuber,6.47,76,"D(L), M(CLR)",13,1,0.8,0,0.5,0.5,0.9,5,2.5,0.4,0.7,28.6,76.3,0.4,81.46153846153847
Florian Kainz,6.47,76,AM(CL),5,1,0.9,0,0.8,0.5,0.4,0,1.0,0.6,0.8,21.1,72.2,0.4,75.0
Mijat Gacinovic,6.47,75,M(CLR),16,1,0.4,0,1.1,0.3,1.1,0,0.7,0.9,0.7,20.1,72.0,0.2,101.4375
Nicolai Müller,6.47,77,"M(CLR), FW",11,0,0.2,1,1.3,0.4,1.4,3,1.4,1.2,0.9,17.2,71.8,0.3,82.0909090909091
John Yeboah,6.45,62,Midfielder,0,0,0.0,0,0.0,0.0,1.5,0,0.5,1.0,1.0,10.5,76.2,0.5,
Abdul Rahman Baba,6.45,74,"D(L), M(L)",2,0,1.0,0,1.5,1.0,0.0,0,1.0,0.5,1.5,36.0,77.8,1.0,81.5
Anastasios Donis,6.45,73,"AM(CR), FW",11,2,0.4,2,0.6,0.0,0.3,5,1.3,0.8,0.3,6.7,80.1,0.1,87.36363636363636
Stefan Ilsanker,6.44,75,"D(CR), DMC",10,0,1.9,0,1.4,2.3,0.5,0,0.2,0.1,0.2,24.1,78.6,0.0,92.8
Lukas Klünter,6.44,69,"D(R), M(R)",7,0,0.8,0,1.1,1.7,0.1,0,0.5,1.0,0.2,18.2,75.8,0.3,85.0
Patrick Erras,6.43,69,DMC,13,1,2.4,0,0.8,2.4,0.6,0,0.4,0.0,0.4,24.6,79.7,0.0,93.76923076923077
Sebastian Rudy,6.42,80,"D(R), M(CR)",17,0,0.3,0,2.1,0.6,1.4,0,0.2,0.3,0.6,30.6,80.5,0.2,80.0
Marco Terrazzino,6.42,70,"AM(CL), FW",7,0,0.2,0,0.5,0.1,0.5,1,0.9,0.6,0.8,15.6,77.3,0.2,74.28571428571429
Johannes Eggestein,6.41,67,"AM(R), FW",12,1,0.7,1,0.6,0.2,0.6,4,1.5,0.7,0.4,13.5,72.3,0.1,93.16666666666667
Hamza Mendyl,6.41,70,"D(L), M(L)",7,0,0.3,0,1.9,0.7,1.1,0,0.3,0.8,0.0,21.9,72.6,0.0,77.85714285714286
Alexander Esswein,6.4,72,"AM(LR), FW",15,0,0.9,0,1.0,0.8,0.9,0,1.7,0.5,1.2,22.9,71.2,0.8,83.93333333333334
Håvard Nordtveit,6.4,76,"D(CR), DMC",4,0,0.8,0,1.0,1.8,0.5,0,0.5,0.6,0.3,33.6,83.3,0.0,117.0
Matthias Ostrzolek,6.4,75,"D(L), DMC, M(L)",16,0,0.6,0,1.8,2.1,0.7,0,0.3,0.2,0.4,34.4,75.1,0.4,91.625
Maximilian Philipp,6.4,79,"AM(LR), FW",9,1,0.8,0,0.4,0.3,0.4,1,0.7,0.3,0.3,12.8,78.4,0.0,84.55555555555556
Gerrit Holtmann,6.4,71,AM(L),1,0,0.5,0,0.5,0.3,0.3,0,0.5,1.5,0.5,6.3,64.0,0.0,143.0
Yevhen Konoplyanka,6.39,79,"AM(CL), FW",7,0,0.4,0,0.2,0.1,0.2,1,1.3,1.1,0.8,13.6,79.1,0.5,93.42857142857143
Felix Klaus,6.39,76,AM(CLR),5,1,0.5,0,0.7,0.0,0.3,1,1.1,0.2,0.4,8.8,78.8,0.1,87.6
Robert Bauer,6.39,72,"D(CLR), M(LR)",19,0,0.6,0,2.2,3.0,0.9,0,0.4,0.2,0.5,27.3,76.7,0.4,90.73684210526316
Marvin Bakalorz,6.38,74,M(C),16,0,1.2,0,0.7,1.8,1.2,1,0.5,0.4,0.3,15.7,75.8,0.1,92.0
Ridle Baku,6.38,67,M(C),10,0,0.6,0,1.2,0.4,0.3,0,0.7,0.5,0.4,29.5,82.4,0.0,93.8
Florian Niederlechner,6.38,75,"AM(CR), FW",12,1,0.7,1,0.3,0.4,0.2,4,1.3,0.4,0.4,7.1,70.0,0.0,81.0
Michaël Cuisance,6.38,72,M(C),1,1,0.1,0,1.0,0.4,0.5,0,0.7,1.1,0.5,13.6,79.3,0.0,269.0
Sebastian Kerk,6.37,70,AM(CLR),17,1,0.6,0,0.8,0.7,0.8,0,0.9,0.2,1.1,17.1,73.5,1.2,69.82352941176471
Iver Fossum,6.37,73,M(C),5,0,0.1,0,1.0,0.9,0.4,0,0.6,0.3,1.0,24.3,81.7,0.9,90.6
Miiko Albornoz,6.37,71,"D(L), M(L)",19,3,0.5,0,2.1,1.4,1.1,1,0.5,0.3,0.8,32.4,75.3,0.8,87.36842105263158
Levin Öztunali,6.37,74,AM(CLR),11,1,0.5,0,1.1,0.5,0.9,0,1.1,1.1,0.4,17.9,68.3,0.3,84.0
Renato Sanches,6.36,75,M(C),4,1,0.1,0,0.3,0.1,0.4,1,1.0,1.0,0.5,19.9,90.8,0.4,141.75
Alexandru Maxim,6.36,73,AM(CL),3,0,0.1,0,0.7,0.3,0.4,1,0.7,0.5,0.7,15.1,83.1,0.5,188.33333333333334
Alexander Fuchs,6.36,66,M(C),8,0,0.3,0,1.6,0.9,1.1,1,1.0,0.4,1.0,25.9,76.8,0.0,82.625
Julian Korb,6.35,75,"D(R), M(R)",11,0,0.5,0,2.2,2.6,1.6,0,0.2,0.3,0.8,33.3,71.2,0.5,91.63636363636364
Virgil Misidjan,6.35,74,AM(LR),17,1,0.7,0,0.9,0.2,0.9,1,1.0,1.8,0.3,14.4,74.4,0.3,90.88235294117646
Bobby Wood,6.33,73,"AM(C), FW",12,1,1.3,0,0.7,0.3,0.2,3,0.9,0.3,0.6,14.4,78.7,0.1,98.83333333333333
Vladimír Darida,6.32,78,"M(C), FW",3,1,0.2,0,0.8,0.5,0.1,0,0.9,0.4,0.7,22.9,86.5,0.3,124.33333333333333
Felix Götze,6.32,65,Midfielder,0,0,0.3,0,0.7,1.2,0.0,1,0.3,0.0,0.0,5.3,75.0,0.0,
Fabian Johnson,6.32,77,"D(LR), M(CLR)",11,0,0.6,0,0.7,0.7,0.1,1,0.2,0.1,0.2,27.9,80.1,0.1,91.81818181818181
"Jean0,00Kévin Augustin",6.32,77,"AM(R), FW",4,0,0.1,0,0.1,0.0,0.1,3,0.8,0.5,0.5,5.1,79.1,0.1,113.0
Jetro Willems,6.31,76,"D(L), DMC, M(L)",7,1,0.4,0,0.9,0.4,0.3,0,0.2,0.3,0.9,11.3,71.0,0.6,102.85714285714286
Derrick Luckassen,6.31,73,"D(CR), DMC",2,0,1.3,0,1.0,3.3,0.5,0,0.0,0.5,0.0,46.3,89.7,0.0,124.0
Yuya Kubo,6.31,74,"AM(CLR), FW",15,0,0.5,0,1.0,0.1,1.0,1,1.3,0.5,0.5,17.8,73.4,0.1,90.86666666666666
Allan Souza,6.3,83,DMC,2,0,0.3,0,1.0,0.3,1.0,0,0.5,0.3,0.3,15.3,68.9,0.0,87.5
Georg Teigl,6.29,68,"D(R), M(R)",2,0,0.2,0,0.8,0.7,0.0,0,0.2,0.3,0.3,10.5,57.1,0.0,146.0
Lucas Höler,6.27,72,"AM(CLR), FW",11,0,0.6,0,0.7,0.5,0.5,4,1.0,0.3,0.3,9.5,67.6,0.1,91.27272727272727
Nicolai Müller,6.27,77,"M(CLR), FW",3,0,0.0,0,0.6,0.0,0.1,2,0.4,0.0,0.1,5.9,70.7,0.3,72.0
Taleb Tawatha,6.25,70,"D(L), M(L)",1,0,0.7,0,0.3,0.3,0.3,0,0.0,0.7,0.0,12.3,70.3,0.0,125.0
Alphonso Davies,6.24,60,AM(LR),0,0,0.2,0,0.2,0.0,0.0,1,0.3,0.5,0.0,5.2,87.1,0.0,
Aymen Barkok,6.23,69,AM(C),4,0,1.0,0,1.1,0.3,1.3,0,0.4,0.6,0.3,18.0,75.9,0.4,126.75
Paul Verhaegh,6.23,74,"D(R), M(R)",2,0,0.5,0,0.5,3.0,0.5,0,0.0,0.0,0.5,46.0,81.5,0.0,90.0
Shinji Kagawa,6.22,81,M(CL),1,0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,36.5,89.0,0.0,98.0
Chadrac Akolo,6.22,73,AM(CR),5,1,0.4,0,0.6,0.0,0.1,0,0.9,0.4,0.4,9.6,76.5,0.1,104.6
Erik Thommy,6.19,75,AM(CLR),6,1,0.4,0,0.3,0.1,0.3,1,1.3,0.4,0.9,14.1,79.4,0.6,132.16666666666666
Marc Stendera,6.18,74,M(C),0,0,0.0,0,0.9,0.0,0.3,0,0.0,0.0,0.1,13.9,83.5,0.0,
Fredrik Jensen,6.14,71,AM(C),2,0,0.8,0,0.8,0.5,0.3,0,0.3,0.3,0.3,8.7,57.7,0.0,103.0
Simon Rhein,6.1,62,M(C),7,0,0.8,0,0.9,0.6,0.6,0,0.1,0.6,0.1,35.5,85.2,0.0,71.0
Noah Joel Sarenren Bazee,6.09,70,AM(R),3,0,0.0,0,0.0,1.0,0.0,0,1.7,0.7,0.0,5.3,43.8,0.0,53.666666666666664
Pascal Köpke,6.08,71,"AM(CR), FW",0,0,0.0,0,0.1,0.0,0.1,0,0.6,0.1,0.0,4.0,78.6,0.1,
Paulinho,6.08,71,AM(LR),0,0,0.2,0,0.3,0.0,0.1,0,0.4,0.6,0.1,6.0,83.3,0.1,
Timothy Tillman,6.07,60,Midfielder,1,0,0.5,0,0.0,0.0,0.7,0,0.5,1.2,0.5,9.0,74.1,0.0,204.0
Berkay Özcan,6.07,71,M(CL),0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.3,0.0,10.3,87.1,0.0,
Yoric Ravet,6.04,75,M(R),0,0,0.3,0,0.5,0.3,0.3,0,0.3,0.3,0.3,6.0,75.0,0.0,
Edgar Salli,6.01,69,AM(LR),1,0,0.0,0,0.7,0.3,0.3,0,0.3,0.0,0.3,6.3,100.0,0.0,115.0
Christoph Baumgartner,5.97,60,Midfielder,1,0,0.5,0,0.5,0.0,1.0,0,1.0,2.5,0.0,17.5,62.9,0.0,86.0
Takuma Asano,5.96,70,"AM(CLR), FW",9,0,0.4,0,0.4,0.2,0.4,0,1.0,0.5,0.2,11.6,72.2,0.0,78.0
Benjamin Henrichs,5.49,76,"D(LR), M(R)",1,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.0,81.8,1.0,64.0
Lionel Messi,8.48,94,"AM(CR), FW",29,13,0.2,17,0.4,0.0,0.5,36,5.0,3.9,2.7,53.8,81.3,0.4,93.44827586206897
Luis Suárez,7.57,91,"AM(CLR), FW",31,6,0.7,5,0.5,0.7,0.2,21,3.4,1.1,1.4,29.0,75.3,0.2,91.29032258064517
Iago Aspas,7.51,84,"AM(CR), FW",26,6,0.9,6,0.6,0.2,0.6,20,2.6,0.7,2.1,32.1,82.0,0.2,87.0
Daniel Parejo,7.4,85,M(C),35,7,0.9,9,2.0,0.6,1.6,9,1.2,1.0,2.3,61.5,85.8,1.9,87.51428571428572
Antoine Griezmann,7.29,89,"AM(CLR), FW",37,9,1.1,4,0.8,0.6,0.5,15,3.1,0.5,2.0,37.5,78.3,0.6,86.5945945945946
Ousmane Dembélé,7.25,83,AM(CLR),20,5,0.3,3,0.8,0.1,0.4,8,1.3,2.3,1.6,31.4,80.7,0.8,83.65
Rodrigo,7.24,83,DMC,32,1,2.3,3,3.0,2.0,1.1,3,0.8,0.6,0.5,56.7,91.1,0.0,85.71875
Wissam Ben Yedder,7.23,82,"AM(C), FW",31,9,1.1,3,0.5,0.1,0.3,18,2.2,1.3,1.3,21.6,73.9,0.1,91.0
Saúl Ñíguez,7.17,85,"D(CL), M(CLR)",32,1,2.9,4,2.5,2.2,1.5,4,1.6,1.0,0.5,44.9,78.8,0.1,91.40625
Raúl García,7.17,80,"M(CLR), FW",27,3,5.8,6,1.8,1.1,1.4,9,2.5,0.4,0.8,27.0,55.7,0.1,88.11111111111111
Pablo Sarabia,7.16,82,"D(L), M(CLR)",30,13,0.3,5,0.9,0.5,1.2,12,2.3,0.8,2.1,36.6,79.6,1.3,91.0
Casemiro,7.15,88,DMC,27,0,3.0,4,3.0,1.8,1.9,3,1.4,0.6,0.5,55.8,88.0,0.1,85.77777777777777
Joan Jordán,7.14,78,M(C),32,4,1.4,4,1.8,0.5,1.4,4,1.6,1.3,1.9,46.8,83.4,1.8,89.96875
José Campaña,7.1,79,M(C),36,9,1.2,4,1.8,1.2,1.6,4,0.6,1.3,1.6,51.6,84.4,1.2,89.25
Álvaro Morata,7.1,82,"AM(L), FW",13,1,4.1,1,1.3,0.9,0.5,6,2.0,1.3,0.3,17.1,59.4,0.0,83.76923076923077
Santi Cazorla,7.09,80,M(CLR),30,10,0.3,5,2.0,0.4,1.3,4,0.9,1.4,2.1,44.9,86.6,1.3,88.36666666666666
Toni Kroos,7.09,90,M(C),26,4,0.8,2,1.8,0.4,1.5,0,1.1,0.5,2.3,74.0,93.2,1.5,85.65384615384616
Koke,7.09,85,M(CLR),29,4,0.5,1,2.8,1.1,1.7,3,0.7,0.4,2.0,64.7,86.2,1.0,89.24137931034483
Ivan Rakitic,7.06,87,M(C),29,5,1.1,1,0.9,0.8,0.7,3,1.1,0.6,0.5,74.6,91.4,0.1,91.13793103448276
Ander Guevara,7.06,66,Midfielder,1,0,1.0,0,3.0,0.0,4.0,0,3.0,3.0,1.0,42.0,97.6,1.0,90.0
Rubén Rochina,7.06,75,M(CLR),23,5,0.9,2,1.9,0.6,2.1,4,1.7,2.4,1.1,34.9,72.8,0.7,78.91304347826087
Giovani Lo Celso,7.06,80,"AM(C), FW",27,4,0.5,4,1.6,0.3,0.8,9,2.0,2.0,0.8,44.5,82.9,0.1,88.92592592592592
Rubén Peña,7.04,77,"D(R), M(L)",30,2,0.7,1,2.0,1.3,0.9,1,0.7,2.0,1.4,43.5,71.5,1.6,89.13333333333334
Vicente Iborra,7.04,79,M(C),19,1,4.6,0,1.6,2.2,1.2,3,0.9,0.4,0.4,41.6,80.4,0.0,87.73684210526316
Adnan Januzaj,7.04,78,AM(CLR),13,3,0.2,1,0.6,0.2,0.5,1,1.6,3.3,1.5,21.6,75.4,2.0,96.46153846153847
Luka Modric,7.03,91,M(C),31,6,0.4,1,1.4,0.2,1.0,3,1.1,1.6,1.6,55.6,88.9,0.6,84.45161290322581
Cristhian Stuani,7.03,80,"AM(CLR), FW",30,0,3.7,5,0.7,1.1,0.5,19,2.4,0.4,0.4,15.7,68.2,0.0,91.03333333333333
Sofiane Boufal,7.03,77,"AM(CLR), FW",25,3,0.5,1,1.0,0.2,0.9,3,1.5,4.1,1.1,22.9,80.0,0.3,84.0
Roberto Rosales,7.02,74,"D(R), M(R)",20,1,2.4,1,2.3,2.9,1.1,3,0.9,0.6,0.6,43.5,77.3,0.5,87.55
Sergio Canales,7,80,AM(CLR),30,2,0.2,1,1.4,0.2,1.3,7,2.1,1.8,1.7,54.3,88.3,1.3,88.6
Sergio Busquets,7,89,DMC,30,1,1.5,0,2.6,0.6,1.4,0,0.2,0.3,0.4,68.4,89.7,0.0,90.66666666666667
Iñaki Williams,7,81,"AM(CLR), FW",36,4,2.1,5,0.7,0.8,0.4,13,2.0,1.4,0.8,18.1,70.3,0.2,84.44444444444444
Brais Méndez,6.99,75,AM(CR),27,7,1.0,1,2.0,0.6,1.3,6,2.3,0.6,1.5,35.9,78.5,0.9,87.18518518518519
Francis Coquelin,6.99,79,M(CLR),20,1,1.3,1,1.8,1.1,0.7,0,0.3,1.0,0.7,37.2,86.1,0.0,88.35
Fabián Orellana,6.97,77,AM(CLR),31,5,0.8,5,1.3,0.1,1.0,3,2.4,2.5,1.5,35.3,77.8,0.7,88.35483870967742
Geoffrey Kondogbia,6.95,82,DMC,14,1,1.3,2,2.5,1.2,0.8,1,1.2,1.2,0.3,39.2,84.4,0.0,88.85714285714286
Thomas Partey,6.93,82,"D(R), M(CR)",22,4,1.3,5,2.1,0.6,0.9,3,1.1,1.1,0.6,41.5,83.8,0.3,93.95454545454545
Jesús Navas,6.93,80,"D(R), M(R)",31,5,0.5,0,0.9,1.6,0.3,1,1.0,1.1,1.3,44.3,77.0,1.3,87.54838709677419
Júnior Firpo,6.93,76,"D(L), M(L)",22,4,1.5,1,1.6,1.5,0.6,3,0.8,1.3,0.8,38.9,82.9,0.3,88.04545454545455
Philippe Coutinho,6.93,88,M(CLR),22,2,0.2,0,0.5,0.1,0.4,5,2.0,1.5,0.9,40.8,87.9,0.2,91.95454545454545
Rodrigo Moreno,6.93,83,"M(CLR), FW",29,6,1.5,1,0.6,0.5,0.4,8,2.4,1.3,0.9,25.1,74.4,0.1,87.37931034482759
Toni Moya,6.91,63,Midfielder,1,0,1.0,0,2.0,3.0,1.0,0,0.0,0.0,0.0,49.0,91.8,0.0,90.0
Sergi Roberto,6.91,83,"D(R), M(CR)",23,7,1.0,1,1.0,0.9,0.3,0,0.3,0.5,1.0,55.9,90.5,0.2,90.82608695652173
Marc Roca,6.9,76,DMC,35,2,1.3,0,2.1,1.7,1.2,1,0.7,0.8,0.7,55.9,86.9,0.0,89.02857142857142
Jorge Miramón,6.9,72,"D(R), M(R)",30,0,1.0,1,2.4,1.8,0.6,1,0.4,1.1,0.9,32.8,75.1,0.8,83.2
Óscar Rodríguez,6.9,68,AM(C),29,3,0.7,1,1.5,0.4,1.4,4,2.0,1.2,1.5,30.6,75.4,1.3,86.72413793103448
Gonçalo Guedes,6.89,82,"AM(LR), FW",18,3,0.4,1,1.2,0.0,1.2,5,1.4,1.4,0.8,23.9,75.9,0.4,81.88888888888889
Jony,6.89,77,AM(LR),34,10,0.1,1,0.6,0.3,0.8,5,1.5,1.7,2.4,21.6,65.3,2.0,87.79411764705883
Rubén Alcaraz,6.89,73,DMC,34,2,1.5,2,2.8,1.4,1.7,3,1.5,0.7,0.6,50.4,83.6,0.2,87.58823529411765
Arturo Vidal,6.89,85,M(C),22,7,1.2,0,2.4,0.6,1.2,3,0.7,0.2,0.7,45.4,89.0,0.1,87.68181818181819
Jonathan Silva,6.89,74,"D(L), M(L)",30,6,0.6,0,1.7,2.3,1.0,3,0.8,0.4,1.6,29.6,71.7,1.4,90.0
Mikel Merino,6.88,75,M(C),24,3,2.9,2,1.7,1.2,1.3,3,0.8,1.0,0.4,37.6,79.6,0.2,85.875
Gareth Bale,6.88,88,"M(CLR), FW",21,3,1.3,2,0.6,0.4,0.5,8,2.6,0.8,0.6,23.8,78.3,0.4,85.42857142857143
Daniel Carriço,6.88,78,"D(C), DMC",24,1,2.5,1,1.5,4.3,0.3,1,0.4,0.3,0.2,41.7,79.7,0.0,88.83333333333333
Okay Yokuslu,6.87,77,"D(C), DMC",26,0,2.6,1,2.0,1.7,0.6,2,0.6,0.9,0.4,46.2,86.1,0.0,84.8076923076923
Álex Granell,6.87,79,"DMC, M(L)",26,4,1.0,1,2.0,1.0,1.5,0,1.2,0.7,1.6,40.8,76.1,1.7,92.0
Franco Vázquez,6.87,82,"AM(CR), FW",26,4,2.0,0,1.5,0.7,1.3,3,1.3,1.3,0.9,31.4,79.3,0.2,88.07692307692308
Thomas Lemar,6.87,83,AM(CLR),22,3,0.3,1,1.2,0.1,0.7,3,0.8,1.5,1.2,30.3,85.2,0.7,83.13636363636364
Joaquín,6.87,63,"M(CLR), FW",17,0,0.5,1,0.3,1.0,0.1,6,0.8,1.6,1.5,28.2,84.8,0.9,99.82352941176471
Yuri,6.87,77,"D(L), M(L)",35,2,2.2,1,1.3,2.0,0.7,2,0.8,0.9,0.5,39.1,81.9,0.6,89.17142857142858
Hugo Mallo,6.86,80,"D(CR), M(R)",35,4,1.7,0,2.1,3.3,0.7,1,0.7,0.6,0.9,42.6,74.6,0.9,88.4
José Luis Morales,6.86,81,"D(R), M(CLR), FW",35,5,0.4,2,0.6,0.3,1.1,12,1.8,1.9,1.2,18.8,71.1,0.2,91.34285714285714
Pape Diop,6.85,73,M(C),27,1,3.6,0,2.4,0.9,0.7,1,1.3,0.6,0.4,40.3,73.2,0.1,87.25925925925925
Esteban Granero,6.85,78,M(CLR),24,1,0.8,2,1.8,1.1,1.2,3,1.1,1.2,1.0,40.0,86.2,0.8,84.16666666666667
Marcos Llorente,6.83,79,DMC,6,0,0.3,0,2.3,1.6,1.4,0,0.1,1.0,0.6,53.6,93.1,0.0,90.0
Mikel Oyarzabal,6.83,80,"AM(CLR), FW",36,2,1.2,1,1.0,0.6,1.0,13,1.8,1.3,1.2,25.0,73.9,0.5,87.77777777777777
Karl Toko Ekambi,6.83,79,"AM(L), FW",24,1,1.0,2,0.3,0.3,0.4,10,1.7,1.5,0.8,14.7,74.7,0.1,89.54166666666667
Javi López,6.83,75,"D(R), DMC",21,0,1.5,1,2.7,3.3,1.4,0,0.3,0.8,0.7,37.0,78.1,0.4,92.80952380952381
Iker Muniain,6.83,80,AM(CLR),27,4,0.2,1,0.9,0.2,0.7,7,0.7,1.9,0.9,34.9,85.9,0.2,88.4074074074074
Igor Zubeldia,6.81,74,DMC,29,1,1.8,3,1.8,1.7,1.0,0,0.5,1.2,0.2,36.4,85.8,0.0,88.0
