Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Nacho Monreal,6.97,80,"D(CL), M(L)",21,0,87.6,88.61904761904762
Luke Shaw,6.91,80,"D(L), M(L)",29,2,83.3,89.37931034482759
Séamus Coleman,6.88,80,"D(R), M(R)",29,0,78.1,88.27586206896552
Rúben Neves,6.86,80,DMC,34,0,81.2,88.5
Michy Batshuayi,6.86,80,FW,9,0,65.0,84.11111111111111
Serge Aurier,6.85,80,"D(CLR), M(R)",6,0,75.5,94.0
Gerard Deulofeu,6.84,80,"AM(LR), FW",26,3,77.4,80.11538461538461
Fabian Delph,6.82,80,"D(L), M(CL)",8,0,91.3,90.625
Eric Dier,6.74,80,"D(CR), DMC",18,0,84.9,83.88888888888889
Héctor Bellerín,6.71,80,"D(R), M(R)",18,0,84.2,85.27777777777777
Roberto Pereyra,6.66,80,M(CLR),33,1,83.2,85.60606060606061
André Gomes,6.65,80,M(CLR),24,0,84.8,82.75
Bernard,6.6,80,AM(L),25,0,75.3,85.16
Adam Lallana,6.53,80,AM(CLR),5,0,82.1,93.0
Victor Wanyama,6.53,80,DMC,4,0,81.0,128.25
Daniel Sturridge,6.41,80,"M(R), FW",4,0,80.0,125.0
Andriy Yarmolenko,6.28,80,AM(R),5,0,82.3,92.2
Steven Defour,6.19,80,DMC,6,0,81.5,75.33333333333333
Domenico Criscito,7.15,80,"D(CL), M(L)",35,3,75.7,87.74285714285715
Tiemoué Bakayoko,7.15,80,DMC,26,4,86.6,88.5
Hakan Calhanoglu,7.12,80,"M(CLR), FW",34,2,85.2,85.23529411764706
Emre Can,6.98,80,"D(CLR), DMC",20,1,87.1,90.35
Nicolas Nkoulou,6.94,80,D(C),36,2,89.8,89.30555555555556
Luis Muriel,6.87,80,"AM(CL), FW",16,1,62.4,90.25
Ricardo Rodríguez,6.84,80,"D(CL), M(L)",35,0,87.1,87.2
Iago Falque,6.83,80,"AM(CLR), FW",19,1,83.1,85.15789473684211
Matías Vecino,6.75,80,M(C),23,1,82.4,87.69565217391305
Mateo Musacchio,6.73,80,D(C),29,0,90.0,90.0
Darijo Srna,6.72,80,D(R),24,0,81.2,87.08333333333333
Stefan Radu,6.72,80,D(CL),28,0,85.6,80.5
Milan Badelj,6.68,80,M(C),14,4,86.1,81.64285714285714
Valter Birsa,6.57,80,"M(CLR), FW",12,0,80.5,91.91666666666667
Valter Birsa,6.27,80,"M(CLR), FW",4,0,86.1,87.25
Willi Orban,7.41,79,D(C),23,3,78.2,89.1304347826087
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31,5,68.5,89.03225806451613
Nils Petersen,7.11,79,FW,20,3,68.2,96.5
Benjamin Hübner,7.1,79,D(C),9,0,82.6,90.33333333333333
Jérôme Roussillon,7.03,79,"D(L), M(L)",28,3,77.3,88.07142857142857
Josuha Guilavogui,6.97,79,M(C),18,1,81.6,87.33333333333333
Diego Demme,6.92,79,DMC,24,0,81.5,85.875
Nuri Sahin,6.91,79,M(C),19,1,86.3,78.26315789473684
Ante Rebic,6.89,79,"AM(CLR), FW",23,1,56.9,86.30434782608695
Davy Klaassen,6.89,79,AM(C),33,2,74.5,85.54545454545455
Christian Pulisic,6.86,79,M(CLR),9,1,79.5,102.66666666666667
Salomon Kalou,6.83,79,"AM(CLR), FW",27,1,73.5,86.18518518518519
John Brooks,6.78,79,D(C),29,1,85.9,90.0
Jonas Hofmann,6.75,79,AM(CLR),21,1,84.0,91.28571428571429
David Abraham,6.75,79,D(C),17,1,77.4,83.6470588235294
Jeffrey Gouweleeuw,6.72,79,D(C),24,0,77.1,87.20833333333333
Lucas Alario,6.72,79,FW,11,2,75.5,114.18181818181819
Julian Weigl,6.71,79,"D(C), DMC",16,0,93.2,91.0
Michael Gregoritsch,6.71,79,"AM(CR), FW",28,1,71.1,89.07142857142857
Jean-Philippe Gbamin,6.7,79,"D(CR), DMC",30,0,80.4,89.13333333333334
Amine Harit,6.68,79,AM(CLR),12,1,80.0,90.25
Benjamin Stambouli,6.68,79,"D(C), M(C)",20,0,76.7,88.15
Karim Rekik,6.62,79,D(CL),24,0,88.6,86.25
Daniel Baier,6.61,79,M(C),33,0,76.4,85.57575757575758
Leonardo Bittencourt,6.6,79,AM(CLR),13,0,80.2,82.23076923076923
Bruma,6.47,79,AM(CLR),6,0,86.9,91.5
Maximilian Philipp,6.4,79,"AM(LR), FW",9,0,78.4,84.55555555555556
Yevhen Konoplyanka,6.39,79,"AM(CL), FW",7,0,79.1,93.42857142857143
José Campaña,7.1,79,M(C),36,4,84.4,89.25
Vicente Iborra,7.04,79,M(C),19,0,80.4,87.73684210526316
Francis Coquelin,6.99,79,M(CLR),20,1,86.1,88.35
André Silva,6.93,79,FW,25,2,72.7,86.56
Álex Granell,6.87,79,"DMC, M(L)",26,1,76.1,92.0
Marcos Llorente,6.83,79,DMC,6,0,93.1,90.0
Karl Toko Ekambi,6.83,79,"AM(L), FW",24,2,74.7,89.54166666666667
Borja García,6.8,79,AM(CL),30,1,82.8,87.96666666666667
Sergi Darder,6.78,79,"DMC, M(L)",32,4,79.8,84.9375
Ibai Gómez,6.74,79,AM(LR),17,2,72.3,85.70588235294117
Gabriel Mercado,6.72,79,D(CR),19,0,82.0,91.47368421052632
David López,6.72,79,"D(C), DMC",21,1,88.3,86.66666666666667
Sidnei,6.71,79,D(C),20,2,89.5,87.15
Charles,6.7,79,FW,17,3,69.4,102.11764705882354
Ángel Correa,6.68,79,"AM(LR), FW",20,1,75.6,96.1
Aissa Mandi,6.67,79,D(CLR),34,2,92.6,90.02941176470588
Jaume Costa,6.66,79,"D(L), M(L)",18,1,82.4,83.22222222222223
Sergio Escudero,6.65,79,"D(L), M(L)",18,1,81.0,86.27777777777777
Roger Martí,6.63,79,FW,23,2,69.5,82.3913043478261
Óscar De Marcos,6.57,79,"D(LR), M(CR)",28,1,77.1,86.67857142857143
Ibai Gómez,6.52,79,AM(LR),6,0,81.0,96.5
Roque Mesa,6.48,79,DMC,20,0,87.4,87.35
Ángel Rodríguez,6.46,79,FW,20,2,66.6,91.05
Antonio Sanabria,6.38,79,FW,8,0,75.2,101.125
Kike García,6.37,79,FW,15,0,70.3,86.4
Nikola Kalinic,6.3,79,FW,7,0,57.0,91.57142857142857
Sergio León,6.12,79,FW,6,0,78.8,105.66666666666667
Nolito,6.09,79,AM(L),1,0,63.0,74.0
Ángel Di María,7.52,79,"M(CLR), FW",28,2,78.8,83.53571428571429
Hatem Ben Arfa,7.35,79,"M(CR), FW",23,5,85.2,88.56521739130434
Allan Saint-Maximin,7.21,79,"AM(CLR), FW",34,5,76.0,85.70588235294117
Yann MVila,6.91,79,"M(C), M(C)",37,0,86.2,88.1891891891892
Adrien Silva,6.87,79,M(C),13,0,83.2,91.0
Layvin Kurzawa,6.67,79,"D(L), M(L)",11,1,84.4,91.9090909090909
Aleksandr Golovin,6.63,79,M(CL),27,2,82.3,85.22222222222223
Lucas Tousart,6.59,79,DMC,20,0,87.3,86.45
Djibril Sidibé,6.58,79,"D(LR), M(R)",22,0,74.7,94.18181818181819
Rafael,6.53,79,"D(LR), M(R)",11,0,83.2,92.63636363636364
Luka Milivojevic,7.19,79,DMC,38,2,80.0,90.0
Callum Wilson,6.99,79,FW,29,4,67.1,87.41379310344827
Jefferson Lerma,6.97,79,"D(R), DMC",29,0,83.2,86.58620689655173
Richarlison,6.89,79,"AM(CLR), FW",32,3,68.5,83.71875
Jonny Evans,6.88,79,D(CL),21,0,84.7,95.0
Ashley Young,6.87,79,"D(LR), M(LR)",28,0,77.5,91.75
Nathan Aké,6.86,79,"D(CL), DMC",38,1,86.0,89.78947368421052
Ben Mee,6.86,79,D(CL),38,1,74.9,90.0
Jonny,6.85,79,"D(CLR), M(L)",32,1,77.8,86.875
Phil Jones,6.81,79,"D(CR), DMC",15,0,92.6,84.26666666666667
Kurt Zouma,6.78,79,D(CR),29,0,83.6,90.10344827586206
Mamadou Sakho,6.72,79,D(C),27,0,88.6,89.51851851851852
Morgan Schneiderlin,6.71,79,DMC,10,1,88.6,83.5
Jack Wilshere,6.68,79,M(CLR),4,0,89.8,97.25
Victor Lindelöf,6.68,79,D(CR),29,0,89.2,89.72413793103448
Marouane Fellaini,6.66,79,M(C),6,0,81.2,124.66666666666667
Ross Barkley,6.65,79,M(CLR),13,1,91.2,95.61538461538461
Ryan Bertrand,6.61,79,"D(CL), M(L)",24,0,75.5,90.0
Sead Kolasinac,6.61,79,"D(L), M(L)",22,0,77.7,85.95454545454545
Mohamed Elyounoussi,6.51,79,AM(LR),8,0,73.4,98.875
Theo Walcott,6.51,79,"M(CLR), FW",24,0,72.6,88.5
Max Meyer,6.49,79,"M(CL), FW",15,0,83.9,94.33333333333333
Cenk Tosun,6.44,79,FW,10,0,70.5,105.0
Nathaniel Clyne,6.43,79,"D(LR), M(R)",13,0,75.2,88.15384615384616
Davide Zappacosta,6.39,79,"D(R), M(R)",1,0,80.0,125.0
Nathaniel Clyne,6.29,79,"D(LR), M(R)",1,0,83.1,108.0
Stephan Lichtsteiner,6.27,79,"D(R), M(R)",10,0,78.5,94.1
Vicente Iborra,6.2,79,M(C),3,0,86.4,75.33333333333333
Adrien Silva,6.2,79,M(C),1,0,86.1,88.0
Denis Suárez,6.16,79,AM(CLR),0,0,91.2,
Marcos Rojo,6.15,79,D(CL),2,0,72.6,105.5
Jordan Veretout,6.96,79,M(C),33,3,81.8,89.21212121212122
Franck Kessié,6.95,79,DMC,34,2,87.0,88.8529411764706
Kwadwo Asamoah,6.93,79,"D(L), M(CL)",30,2,89.0,89.06666666666666
Daniele Baselli,6.88,79,M(C),27,0,80.2,88.51851851851852
Gastón Ramírez,6.76,79,AM(CLR),19,2,78.7,83.52631578947368
Mário Rui,6.69,79,D(L),17,1,84.5,83.47058823529412
Lautaro Martínez,6.64,79,FW,13,0,70.8,102.84615384615384
Rogerio,6.61,79,"D(L), M(L)",29,1,82.5,92.06896551724138
Andrea Masiello,6.6,79,D(CR),22,1,87.6,83.72727272727273
Antonio Sanabria,6.48,79,FW,9,0,70.8,85.11111111111111
Marcel Halstenberg,7.56,78,"D(L), M(L)",27,3,74.3,89.4074074074074
Yussuf Poulsen,7.27,78,"AM(R), FW",27,4,60.8,90.88888888888889
Wout Weghorst,7.24,78,FW,33,3,69.5,88.81818181818181
Maximilian Arnold,7.11,78,M(CR),33,2,80.8,87.24242424242425
Achraf Hakimi,7.11,78,D(LR),19,0,86.1,91.57894736842105
Luka Jovic,7.0,78,FW,25,4,70.4,89.96
Nadiem Amiri,7.0,78,AM(CL),10,0,87.4,76.0
Maximilian Eggestein,6.98,78,M(C),34,2,80.5,89.79411764705883
Julian Baumgartlinger,6.96,78,DMC,16,0,89.6,97.3125
Niklas Stark,6.92,78,"D(C), DMC",22,0,83.9,85.04545454545455
Philipp Max,6.78,78,"D(L), M(L)",30,1,71.8,85.83333333333333
Niclas Füllkrug,6.74,78,FW,13,0,68.4,85.61538461538461
Nabil Bentaleb,6.73,78,M(C),19,2,79.3,94.3157894736842
Omar Mascarell,6.6,78,DMC,11,0,84.1,90.27272727272727
Santiago Ascacibar,6.54,78,DMC,27,0,80.7,90.0
Pablo Maffeo,6.53,78,"D(R), M(R)",8,0,76.4,75.25
Vladimír Darida,6.32,78,"M(C), FW",3,0,86.5,124.33333333333333
Joan Jordán,7.14,78,M(C),32,4,83.4,89.96875
Sergio Camello,7.09,78,Forward,0,0,88.9,
Adnan Januzaj,7.04,78,AM(CLR),13,1,75.4,96.46153846153847
Santiago Arias,6.91,78,D(R),20,1,81.9,88.55
Daniel Carriço,6.88,78,"D(C), DMC",24,1,79.7,88.83333333333333
Esteban Granero,6.85,78,M(CLR),24,2,86.2,84.16666666666667
Djené Dakonam,6.81,78,D(C),34,3,71.9,87.67647058823529
Nemanja Maksimovic,6.78,78,DMC,36,0,75.6,89.19444444444444
Sergi Gómez,6.7,78,D(CR),31,0,84.6,89.2258064516129
Anaitz Arbilla,6.7,78,D(CLR),22,0,75.3,88.63636363636364
Pere Pons,6.66,78,DMC,32,1,78.5,87.40625
Álvaro González,6.66,78,D(C),34,2,79.9,87.26470588235294
Ander Capa,6.6,78,"D(R), M(R)",17,0,73.7,96.29411764705883
Stanislav Lobotka,6.51,78,DMC,27,0,89.2,92.33333333333333
Loren Morón,6.48,78,FW,22,0,75.4,89.0909090909091
Jesús Vallejo,6.46,78,D(C),4,0,87.8,77.75
Pione Sisto,6.44,78,AM(LR),8,1,85.7,104.375
Javi García,6.38,78,"D(C), DMC",6,0,93.7,86.66666666666667
John Guidetti,6.23,78,FW,6,0,69.2,104.16666666666667
Max-Alain Gradel,7.14,78,"M(LR), FW",36,3,74.2,90.0
Rémy Cabella,7.13,78,"M(CLR), FW",34,4,86.5,88.23529411764706
Mathieu Debuchy,7.12,78,"D(CR), D(CR)",23,2,73.1,84.69565217391305
Valentin Rongier,7.1,78,M(C),36,2,82.7,89.66666666666667
Ferland Mendy,7.09,78,"D(L), M(L)",27,0,84.5,93.66666666666667
Hiroki Sakai,7.09,78,"D(LR), M(R)",26,1,81.6,91.26923076923077
Emiliano Sala,7.0,78,FW,16,2,64.2,86.0625
Youri Tielemans,6.94,78,M(C),20,1,79.9,84.25
Kenny Tete,6.94,78,"D(R), M(R)",12,1,84.0,87.5
Bertrand Traoré,6.93,78,"AM(R), FW",24,3,82.5,88.54166666666667
Pedro Mendes,6.93,78,D(CR),31,0,82.1,86.09677419354838
Diego Carlos,6.9,78,D(C),35,1,82.5,89.97142857142858
Faycal Fajr,6.89,78,M(CLR),36,5,81.4,90.0
Pierre Lees-Melou,6.85,78,"AM(CLR), AM(CLR)",26,1,85.7,92.03846153846153
Hilton,6.82,78,D(C),36,1,82.1,89.80555555555556
Jemerson,6.69,78,"D(C), DMC",25,0,86.9,89.04
Nacer Chadli,6.31,78,M(CLR),9,0,82.3,77.0
Trent Alexander-Arnold,7.36,78,"D(R), M(R)",27,1,77.5,91.37037037037037
Youri Tielemans,7.14,78,M(C),13,0,85.0,84.0
Raúl Jiménez,7.07,78,FW,36,4,72.8,86.80555555555556
Ben Chilwell,7.04,78,"D(L), M(L)",36,4,72.3,90.0
José Holebas,7.0,78,"D(L), M(L)",27,0,68.5,88.66666666666667
Leander Dendoncker,6.97,78,DMC,17,2,79.4,86.41176470588235
Steve Cook,6.96,78,D(C),31,1,79.3,89.90322580645162
Florian Lejeune,6.95,78,D(C),12,0,76.2,87.91666666666667
Diogo Jota,6.89,78,"AM(CL), FW",29,3,75.6,81.79310344827586
Mario Lemina,6.85,78,DMC,18,0,86.0,89.77777777777777
James Tomkins,6.85,78,D(CR),29,0,83.0,88.37931034482759
Jonjo Shelvey,6.8,78,M(C),10,0,71.0,94.4
Jamaal Lascelles,6.8,78,D(C),32,0,76.7,85.875
Oriol Romeu,6.76,78,DMC,25,1,79.3,85.68
Joe Gomez,6.76,78,D(CLR),12,0,87.5,88.33333333333333
Lewis Dunk,6.72,78,D(C),36,1,82.8,87.58333333333333
Alex Iwobi,6.62,78,AM(CLR),22,0,77.8,89.81818181818181
Christopher Schindler,6.59,78,D(C),37,1,82.8,88.16216216216216
Terence Kongolo,6.58,78,D(CL),32,0,78.0,85.0625
Jack Cork,6.58,78,DMC,37,0,81.2,89.54054054054055
Yerry Mina,6.57,78,D(C),10,0,84.1,89.3
Lucas Pérez,6.32,78,"AM(CR), FW",4,0,70.6,117.25
Andreas Pereira,6.26,78,AM(CLR),6,0,82.4,99.5
Duván Zapata,7.32,78,FW,32,4,79.0,90.625
Leonardo Pavoletti,7.32,78,FW,31,9,69.0,88.3225806451613
Cristian Ansaldi,7.19,78,"D(CLR), DMC, M(LR)",23,2,73.3,78.95652173913044
Joaquín Correa,7.03,78,"AM(CL), FW",18,1,86.1,106.61111111111111
Lorenzo Pellegrini,7.0,78,M(C),21,2,80.0,87.04761904761905
Domenico Berardi,6.98,78,"AM(R), FW",32,3,77.0,90.15625
Federico Chiesa,6.98,78,"M(CLR), FW",34,3,72.1,89.3529411764706
Roberto Gagliardini,6.96,78,DMC,13,2,87.4,83.46153846153847
Manuel Lazzari,6.93,78,M(R),33,2,82.1,86.12121212121212
Mattia De Sciglio,6.89,78,"D(LR), M(LR)",19,0,82.8,91.6842105263158
Gervinho,6.88,78,"M(LR), FW",27,3,82.1,85.55555555555556
Nikola Maksimovic,6.87,78,"D(CR), M(R)",15,0,92.9,91.66666666666667
Davide Calabria,6.84,78,"D(LR), M(R)",22,0,83.1,88.81818181818181
Gregoire Defrel,6.82,78,"AM(CR), FW",26,3,84.5,90.11538461538461
Bryan Cristante,6.81,78,M(C),26,1,82.2,93.11538461538461
Rafael Tolói,6.81,78,D(C),20,0,85.1,87.4
Lucas Castro,6.81,78,AM(CLR),10,1,80.0,90.0
Giovanni Simeone,6.64,78,"AM(R), FW",27,1,68.7,91.07407407407408
Vlad Chiriches,6.56,78,D(CR),3,0,93.9,49.666666666666664
Luca Pellegrini,6.51,78,D(L),11,0,67.8,85.54545454545455
Emiliano Rigoni,6.5,78,AM(CLR),6,1,73.3,87.0
Bastos,6.49,78,D(C),11,0,86.0,103.36363636363636
Riccardo Saponara,6.44,78,AM(C),11,0,69.4,82.54545454545455
Diego Laxalt,6.35,78,"D(L), M(CL)",6,0,77.8,106.66666666666667
Martín Cáceres,6.3,78,"D(CLR), M(R)",7,0,92.5,89.57142857142857
Luca Pellegrini,6.26,78,D(L),2,0,81.1,81.5
Martín Cáceres,5.99,78,"D(CLR), M(R)",3,0,88.0,102.0
Jadon Sancho,7.52,77,AM(LR),26,7,84.9,94.76923076923077
Filip Kostic,7.26,77,"M(LR), FW",33,5,64.7,89.72727272727273
Vincenzo Grifo,7.25,77,AM(CL),16,1,79.2,89.4375
Florian Grillitsch,7.06,77,"DMC, M(L)",27,0,83.5,88.70370370370371
Bastian Oczipka,7.0,77,"D(CL), M(L)",21,0,77.1,89.33333333333333
Nordi Mukiele,6.99,77,"D(CR), M(R)",14,0,72.8,87.64285714285714
Aarón Martín,6.98,77,D(L),32,3,81.9,89.96875
Martin Hinteregger,6.91,77,D(C),14,1,73.1,81.71428571428571
Nico Elvedi,6.91,77,D(CLR),30,2,92.7,87.53333333333333
Wendell,6.9,77,"D(CL), M(L)",25,1,85.7,91.12
Martin Hinteregger,6.87,77,D(C),18,1,75.5,87.55555555555556
Makoto Hasebe,6.87,77,"D(CR), M(CR)",28,0,85.0,90.0
Dayot Upamecano,6.86,77,D(C),14,0,82.5,92.28571428571429
Danny da Costa,6.85,77,"D(R), M(R)",34,1,62.9,89.26470588235294
Caiuby,6.79,77,"AM(CL), FW",10,0,69.8,100.7
Ludwig Augustinsson,6.76,77,"D(L), M(L)",34,0,79.9,89.05882352941177
Mitchell Weiser,6.76,77,"D(R), M(R)",22,2,82.1,95.95454545454545
Waldemar Anton,6.72,77,"D(C), DMC",34,0,83.6,90.0
Aleksandar Dragovic,6.7,77,D(C),13,0,89.8,102.53846153846153
Dominique Heintz,6.69,77,D(CL),34,0,82.1,89.82352941176471
Tobias Strobl,6.69,77,"D(CR), DMC",26,0,89.9,88.26923076923077
Davie Selke,6.69,77,FW,16,1,59.7,108.1875
Danny Latza,6.69,77,DMC,22,1,80.7,85.13636363636364
Vedad Ibisevic,6.68,77,FW,25,1,72.2,73.04
Daniel Ginczek,6.68,77,FW,12,3,58.7,106.25
Marcel Schmelzer,6.65,77,"D(CL), M(L)",7,0,84.9,80.85714285714286
Michael Lang,6.64,77,"D(R), M(R)",15,0,83.6,84.13333333333334
Vincenzo Grifo,6.64,77,AM(CL),3,0,75.5,111.0
Denis Zakaria,6.63,77,DMC,21,0,83.2,93.28571428571429
Martin Harnik,6.58,77,"M(LR), FW",10,0,63.0,82.9
Patrick Herrmann,6.56,77,"M(LR), FW",10,0,80.5,107.5
Per Skjelbred,6.56,77,M(CR),12,0,86.7,83.16666666666667
Christian Gentner,6.55,77,M(CLR),24,1,71.6,84.33333333333333
Gonzalo Castro,6.55,77,M(CR),19,0,77.0,89.15789473684211
Alessandro Schöpf,6.53,77,M(CLR),11,0,80.7,91.18181818181819
Marco Fabián,6.52,77,"AM(CR), FW",1,0,66.7,63.0
Dominik Kohr,6.49,77,DMC,10,1,80.1,96.8
Marius Wolf,6.48,77,"D(R), M(CLR)",10,0,84.5,83.1
Nicolai Müller,6.47,77,"M(CLR), FW",11,1,71.8,82.0909090909091
Fabian Johnson,6.32,77,"D(LR), M(CLR)",11,0,80.1,91.81818181818181
Jean-Kévin Augustin,6.32,77,"AM(R), FW",4,0,79.1,113.0
Nicolai Müller,6.27,77,"M(CLR), FW",3,0,70.7,72.0
Jonathan Calleri,7.08,77,FW,33,7,59.1,87.21212121212122
Cote,7.06,77,D(L),34,1,68.1,89.26470588235294
Rubén Peña,7.04,77,"D(R), M(L)",30,1,71.5,89.13333333333334
Sofiane Boufal,7.03,77,"AM(CLR), FW",25,1,80.0,84.0
Yeray Álvarez,6.98,77,D(C),30,2,80.1,87.13333333333334
Jorge Molina,6.97,77,FW,28,4,66.7,94.67857142857143
Fabián Orellana,6.97,77,AM(CLR),31,5,77.8,88.35483870967742
Rúben Vezo,6.94,77,D(CR),15,0,78.0,89.33333333333333
Borja Iglesias,6.93,77,FW,35,2,70.5,88.05714285714286
Jony,6.89,77,AM(LR),34,1,65.3,87.79411764705883
Damián Suárez,6.89,77,D(R),36,0,65.0,90.0
Okay Yokuslu,6.87,77,"D(C), DMC",26,1,86.1,84.8076923076923
Yuri,6.87,77,"D(L), M(L)",35,1,81.9,89.17142857142858
Cristiano Piccini,6.83,77,D(R),21,1,78.5,88.95238095238095
Theo Hernández,6.83,77,D(L),22,3,82.8,89.86363636363636
Munir El Haddadi,6.8,77,"AM(LR), FW",12,1,74.2,87.08333333333333
Ramiro Funes Mori,6.8,77,"D(C), DMC",29,0,81.0,90.62068965517241
Tomás Pina,6.77,77,M(C),27,1,82.8,86.77777777777777
Bernardo Espinosa,6.77,77,D(C),31,1,86.0,88.03225806451613
Vinícius Júnior,6.77,77,AM(L),9,0,76.1,96.0
Víctor Laguardia,6.76,77,D(C),36,0,70.5,90.0
Juanpe,6.76,77,D(C),31,2,81.5,89.3225806451613
Diego Llorente,6.74,77,"D(C), DMC",20,1,84.8,87.75
Denis Cheryshev,6.74,77,"AM(L), FW",19,0,69.0,89.94736842105263
Enis Bardhi,6.73,77,AM(CL),31,0,76.4,91.6774193548387
Iván Ramis,6.72,77,D(C),20,0,79.4,84.1
Bruno González,6.65,77,D(C),18,1,70.8,94.27777777777777
Mouctar Diakhaby,6.65,77,D(C),16,0,85.1,98.375
Gonzalo Escalante,6.59,77,DMC,18,0,78.2,99.11111111111111
Miguel Layún,6.59,77,"D(LR), M(CLR)",5,0,79.5,101.2
Enes Ünal,6.59,77,FW,24,0,69.5,89.66666666666667
Rúben Vezo,6.57,77,D(CR),2,0,75.9,97.0
Aleix Vidal,6.54,77,"D(R), M(LR)",5,0,76.1,105.2
Hernán Pérez,6.51,77,M(LR),10,0,72.5,79.8
Víctor Sánchez,6.46,77,"D(LR), M(CL)",13,0,81.4,96.76923076923077
Mikel San José,6.44,77,"D(C), DMC",16,0,75.5,107.3125
Sergio García,6.43,77,"M(CLR), FW",17,0,68.6,87.47058823529412
Munir El Haddadi,6.43,77,"AM(LR), FW",1,0,77.6,148.0
Thomas Vermaelen,6.4,77,D(CL),7,0,94.0,83.85714285714286
Erick Cabaco,6.34,77,D(C),20,0,72.9,81.95
Gaku Shibasaki,6.34,77,"M(C), FW",5,0,66.4,78.0
Javi Fuego,6.32,77,M(C),3,0,73.6,78.0
Lluís López,6.31,77,D(C),5,0,80.7,104.0
Markel Bergara,6.08,77,M(C),0,0,76.5,
Dani Torres,6.06,77,DMC,1,0,86.7,71.0
Benjamin André,7.18,77,"D(R), M(CLR)",28,1,79.2,89.35714285714286
Lucas Ocampos,7.14,77,"M(CLR), FW",31,1,78.0,87.58064516129032
Ruben Aguilar,7.13,77,"D(R), M(R)",29,2,83.5,87.27586206896552
Kenny Lala,7.11,77,"D(LR), M(R)",34,3,80.5,90.0
Marçal,7.1,77,D(CL),12,1,87.8,73.58333333333333
Nicolas Pallois,7.04,77,D(C),24,1,77.1,90.0
Léo Dubois,7.01,77,D(LR),21,1,85.6,97.33333333333333
Ellyes Skhiri,7.0,77,DMC,35,3,85.7,88.34285714285714
Thilo Kehrer,6.98,77,"D(CR), M(R)",19,1,92.7,99.78947368421052
Bouna Sarr,6.96,77,"D(R), M(CLR)",25,3,85.2,89.76
Wylan Cyprien,6.91,77,AM(C),27,0,87.5,87.55555555555556
Jordan Amavi,6.91,77,"D(L), M(L)",24,0,79.5,90.75
Serigne Modou Kara Mbodji,6.89,77,D(C),6,0,78.1,84.5
Damien Da Silva,6.88,77,D(C),32,1,87.8,89.8125
Otávio,6.85,77,DMC,33,0,89.1,87.27272727272727
Clément Grenier,6.83,77,M(CL),29,0,82.2,92.0
Valère Germain,6.8,77,"AM(L), FW",23,3,78.0,94.34782608695652
Mathieu Dossevi,6.71,77,"M(CR), FW",30,2,76.0,82.73333333333333
Benjamin Bourigeaud,6.71,77,M(CLR),28,0,79.8,86.96428571428571
Youssouf Sabaly,6.71,77,"D(LR), M(R)",21,0,81.6,91.0
François Kamano,6.64,77,"AM(CLR), FW",29,2,81.0,88.6896551724138
Eric Maxim Choupo-Moting,6.42,77,"M(CLR), FW",8,0,82.2,99.25
Kostas Mitroglou,6.38,77,FW,7,0,73.3,82.85714285714286
James Maddison,7.2,77,AM(CLR),35,3,83.8,81.42857142857143
Willy Boly,7.12,77,D(C),36,2,81.0,88.02777777777777
Ryan Fraser,7.08,77,M(CLR),35,5,76.9,90.65714285714286
Salomón Rondón,7.05,77,FW,30,1,69.9,86.96666666666667
Aleksandar Mitrovic,7.03,77,FW,37,4,72.0,88.70270270270271
Matt Ritchie,6.95,77,"D(L), M(CLR)",35,1,73.1,84.0
Issa Diop,6.89,77,D(C),33,1,86.0,90.0
Daryl Janmaat,6.88,77,"D(R), M(R)",17,0,75.8,89.52941176470588
James Ward-Prowse,6.87,77,"M(CR), M(CR)",21,0,76.5,92.47619047619048
Ruben Loftus-Cheek,6.85,77,"M(CLR), M(CLR)",6,1,87.9,164.16666666666666
Moussa Sissoko,6.75,77,M(CR),27,0,86.7,86.55555555555556
Angelo Ogbonna,6.74,77,D(C),20,0,83.6,93.55
Will Hughes,6.72,77,M(CR),31,0,76.4,78.58064516129032
Martín Montoya,6.71,77,D(LR),24,0,80.0,90.25
Bruno Ecuele Manga,6.69,77,D(CR),37,0,64.9,91.1891891891892
Pascal Groß,6.68,77,M(CR),24,1,75.6,78.25
Chris Wood,6.67,77,FW,29,2,64.8,89.51724137931035
Alberto Moreno,6.65,77,"D(L), M(L)",2,0,87.6,77.5
Glenn Murray,6.65,77,FW,30,3,58.3,83.76666666666667
Davy Pröpper,6.65,77,M(C),30,1,80.0,85.03333333333333
Matthew Lowton,6.64,77,"D(LR), M(R)",19,0,69.0,92.0
André Schürrle,6.59,77,"M(CLR), FW",21,1,77.8,78.57142857142857
Divock Origi,6.57,77,"AM(LR), FW",4,0,70.4,92.0
Cédric Soares,6.56,77,"D(R), M(R)",16,0,73.1,93.375
Harry Winks,6.55,77,DMC,17,1,91.8,93.6470588235294
Bruno,6.49,77,"D(R), M(R)",14,0,82.4,81.14285714285714
Phil Jagielka,6.48,77,D(CR),4,0,74.5,82.5
Mohamed Elneny,6.44,77,DMC,5,0,90.6,76.2
Pedro Obiang,6.44,77,DMC,12,0,80.0,93.41666666666667
Danny Welbeck,6.39,77,"AM(CLR), FW",1,0,74.1,148.0
José Izquierdo,6.38,77,AM(L),9,0,74.6,88.22222222222223
Lewis Cook,6.36,77,M(CL),8,0,83.2,90.25
