Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Okay Yokuslu,6.87,77,"D(C), DMC",26.0,2.6,1.0,2.0,1.7,46.2,86.1,,84.8076923076923
Simon Kjaer,6.87,81,D(C),25.0,3.0,0.0,1.1,5.2,34.9,85.7,,80.64
Nacho,6.87,74,D(LR),35.0,0.9,2.0,3.1,2.3,39.4,71.0,,90.0
Yuri,6.87,77,"D(L), M(L)",35.0,2.2,1.0,1.3,2.0,39.1,81.9,,89.17142857142858
Hugo Mallo,6.86,80,"D(CR), M(R)",35.0,1.7,0.0,2.1,3.3,42.6,74.6,,88.4
José Luis Morales,6.86,81,"D(R), M(CLR), FW",35.0,0.4,2.0,0.6,0.3,18.8,71.1,,91.34285714285714
Íñigo Martínez,6.85,75,D(C),33.0,2.9,0.0,1.6,4.3,43.6,78.0,,87.96969696969697
Kévin Rodrigues,6.85,74,D(L),5.0,0.9,0.0,3.0,2.0,25.9,74.6,,96.6
Marc Muniesa,6.83,74,D(CL),15.0,1.6,1.0,2.6,2.1,40.3,80.7,,93.53333333333333
Cristiano Piccini,6.83,77,D(R),21.0,1.1,1.0,1.4,2.5,33.5,78.5,,88.95238095238095
Theo Hernández,6.83,77,D(L),22.0,0.9,3.0,2.3,1.5,37.9,82.8,,89.86363636363636
Javi López,6.83,75,"D(R), DMC",21.0,1.5,1.0,2.7,3.3,37.0,78.1,,92.80952380952381
Djené Dakonam,6.81,78,D(C),34.0,2.6,3.0,1.6,4.4,28.6,71.9,,87.67647058823529
Marcelo,6.81,80,D(L),21.0,0.3,1.0,1.5,0.6,57.6,83.5,,87.66666666666667
Joseba Zaldua,6.8,75,D(R),25.0,1.8,0.0,1.4,2.5,34.6,77.4,,85.68
Ramiro Funes Mori,6.8,77,"D(C), DMC",29.0,2.3,0.0,1.3,4.7,39.1,81.0,,90.62068965517241
Dídac Vilá,6.79,74,D(L),27.0,1.8,0.0,2.4,3.0,41.1,73.2,,87.33333333333333
David Juncà,6.79,76,D(L),21.0,1.2,1.0,2.6,2.1,39.5,83.5,,83.71428571428571
Abdoulaye Ba,6.78,73,D(C),25.0,2.7,1.0,1.8,6.0,40.3,82.4,,84.52
Kenneth Omeruo,6.78,72,D(C),27.0,1.9,1.0,1.8,5.6,34.4,80.3,,90.14814814814815
Raphael Varane,6.78,86,D(C),31.0,2.9,0.0,1.0,4.3,53.3,89.0,,88.93548387096774
Rubén Duarte,6.77,76,D(L),33.0,1.6,0.0,2.2,3.3,27.9,67.2,,84.15151515151516
Bernardo Espinosa,6.77,77,D(C),31.0,4.2,1.0,0.6,6.3,44.9,86.0,,88.03225806451613
Víctor Laguardia,6.76,77,D(C),36.0,2.2,0.0,1.3,6.2,35.2,70.5,,90.0
Raúl García,6.76,80,D(CL),10.0,1.5,0.0,2.1,2.9,33.6,73.2,,85.4
Juanpe,6.76,77,D(C),31.0,3.3,2.0,1.5,4.0,46.9,81.5,,89.3225806451613
Jorge Pulido,6.75,71,D(C),32.0,2.3,0.0,2.0,4.7,28.8,75.4,,87.1875
Diego Llorente,6.74,77,"D(C), DMC",20.0,2.8,1.0,1.2,3.8,52.3,84.8,,87.75
Álvaro Odriozola,6.74,80,D(R),14.0,0.1,0.0,2.0,0.9,42.4,90.6,,84.28571428571429
Unai Bustinza,6.74,75,D(CR),24.0,2.3,1.0,1.6,4.2,34.6,71.4,,84.54166666666667
Daniel Wass,6.74,81,"D(LR), M(CLR)",26.0,1.3,0.0,1.1,1.3,35.9,78.0,,90.61538461538461
Álex Moreno,6.73,74,"D(L), M(L)",36.0,0.8,1.0,1.8,2.2,30.6,76.3,,87.22222222222223
Néstor Araújo,6.73,75,D(C),30.0,2.2,1.0,1.3,4.6,46.6,86.0,,89.4
Rodrigo Ely,6.73,76,D(C),5.0,5.2,0.0,1.6,5.4,32.0,71.3,,86.2
Fernando Calero,6.73,73,D(C),35.0,1.9,1.0,1.4,4.6,40.3,83.6,,89.42857142857143
Alejandro Gálvez,6.73,75,"D(C), M(C)",17.0,2.1,0.0,2.2,4.1,40.5,81.1,,83.41176470588235
Raúl Navas,6.72,76,D(C),15.0,1.8,0.0,1.4,3.8,54.0,86.6,,87.4
Alfonso Pedraza,6.72,75,"D(L), M(L)",22.0,0.8,2.0,1.7,1.3,20.9,75.8,,94.95454545454545
Gabriel Mercado,6.72,79,D(CR),19.0,2.0,0.0,1.5,3.0,32.3,82.0,,91.47368421052632
David López,6.72,79,"D(C), DMC",21.0,2.5,1.0,1.3,3.1,57.5,88.3,,86.66666666666667
Iván Ramis,6.72,77,D(C),20.0,3.0,0.0,1.1,3.0,38.5,79.4,,84.1
Mario Gaspar,6.71,80,"D(CR), M(R)",30.0,1.7,0.0,2.0,2.7,34.0,77.2,,86.73333333333333
Kiko Olivas,6.71,72,D(C),35.0,1.9,0.0,1.5,4.7,38.5,88.1,,88.62857142857143
Sidnei,6.71,79,D(C),20.0,1.4,2.0,2.0,2.1,51.8,89.5,,87.15
Joris Gnagnon,6.71,76,D(C),4.0,2.7,0.0,1.6,2.1,36.9,90.3,,111.25
Sergi Gómez,6.7,78,D(CR),31.0,2.6,0.0,1.5,4.0,45.5,84.6,,89.2258064516129
Anaitz Arbilla,6.7,78,D(CLR),22.0,2.4,0.0,1.2,3.6,44.6,75.3,,88.63636363636364
Paulo Oliveira,6.7,76,D(C),24.0,2.8,0.0,1.8,4.1,36.1,68.7,,93.45833333333333
Juanfran,6.69,80,D(R),18.0,0.6,1.0,1.6,1.4,35.0,82.2,,89.38888888888889
Xabier Etxeita,6.69,73,D(C),30.0,2.6,1.0,1.5,5.2,28.5,75.2,,89.26666666666667
Nélson Semedo,6.68,81,D(R),20.0,0.7,0.0,1.5,0.7,41.4,91.2,,80.1
Pablo Ínsua,6.68,76,D(C),10.0,2.5,0.0,2.3,3.9,24.6,78.0,,77.9
Carlos Akapo,6.68,70,D(L),12.0,1.6,0.0,2.2,2.5,26.8,76.1,,84.33333333333333
Luis Advíncula,6.67,74,"D(R), M(R)",27.0,0.9,1.0,1.9,2.0,33.5,82.2,,88.55555555555556
Aissa Mandi,6.67,79,D(CLR),34.0,1.6,2.0,1.5,1.9,73.6,92.6,,90.02941176470588
Víctor Ruiz,6.67,82,D(C),22.0,2.2,0.0,1.3,2.8,54.4,86.0,,89.81818181818181
Andrés Solano,6.67,62,Defender,1.0,1.0,0.0,4.0,1.0,26.0,76.9,,46.0
Rodrigo Tarín,6.67,83,D(C),15.0,1.3,0.0,1.2,4.1,26.0,76.9,,95.26666666666667
Jaume Costa,6.66,79,"D(L), M(L)",18.0,1.2,1.0,1.6,2.1,37.0,82.4,,83.22222222222223
Miguelón,6.66,66,D(R),5.0,0.6,0.0,2.6,1.6,20.4,79.1,,108.6
Mathías Olivera,6.66,70,"D(L), M(L)",12.0,3.1,0.0,1.7,1.3,22.5,58.7,,84.25
Álvaro González,6.66,78,D(C),34.0,2.5,2.0,1.4,5.1,44.0,79.9,,87.26470588235294
Sergio Escudero,6.65,79,"D(L), M(L)",18.0,1.0,1.0,2.0,1.8,35.4,81.0,,86.27777777777777
Moussa Wague,6.65,73,D(R),2.0,0.7,0.0,2.0,0.7,42.3,87.4,,112.5
Bruno González,6.65,77,D(C),18.0,2.3,1.0,1.0,4.8,21.7,70.8,,94.27777777777777
Allan Nyom,6.65,74,"D(LR), M(R)",20.0,1.0,1.0,1.4,1.1,21.3,75.6,,85.6
Mouctar Diakhaby,6.65,77,D(C),16.0,1.6,0.0,0.6,4.3,31.6,85.1,,98.375
Nacho,6.64,74,D(CLR),19.0,1.5,0.0,1.3,3.0,49.4,90.1,,89.52631578947368
Chema Rodríguez,6.64,75,D(C),13.0,1.7,0.0,1.4,4.3,19.5,73.9,,96.46153846153847
Robert Mazán,6.64,61,Defender,1.0,2.0,0.0,3.0,0.0,44.0,86.4,,90.0
Facundo Roncaglia,6.64,75,D(CLR),7.0,2.3,0.0,1.9,3.0,39.9,80.3,,86.14285714285714
Juanfran,6.64,80,"D(R), M(R)",17.0,0.9,0.0,0.9,1.1,19.8,72.8,,85.82352941176471
Adrià Pedrosa,6.63,61,D(L),8.0,0.3,1.0,1.2,1.8,19.0,81.6,,95.0
Stefan Savic,6.63,83,D(C),17.0,1.9,0.0,0.6,3.6,30.2,81.6,,82.41176470588235
Francis,6.63,75,"D(R), M(LR)",22.0,0.4,0.0,2.3,1.5,35.6,81.5,,81.36363636363636
Coke,6.63,69,"D(CLR), M(R)",19.0,0.9,1.0,1.6,1.9,27.6,74.8,,95.52631578947368
Pedro Porro,6.63,69,"D(R), M(R)",25.0,0.6,0.0,1.6,1.2,27.0,70.5,,88.56
Samuel Umtiti,6.6,87,D(CL),13.0,0.9,0.0,0.6,1.9,63.4,94.5,,91.53846153846153
Ander Capa,6.6,78,"D(R), M(R)",17.0,1.2,0.0,1.7,1.5,27.4,73.7,,96.29411764705883
Joaquín Fernández,6.6,63,D(C),9.0,2.9,1.0,1.2,3.5,23.7,78.2,,92.88888888888889
Wesley Hoedt,6.6,76,D(C),9.0,3.2,0.0,1.7,5.7,48.9,84.7,,99.22222222222223
Maxime Gonalons,6.6,75,"D(C), M(C)",5.0,1.9,0.0,0.8,1.0,33.3,82.6,,107.4
Dimitri Foulquier,6.59,71,"D(LR), M(R)",23.0,1.0,1.0,1.2,1.2,15.9,62.8,,78.65217391304348
Adrián Diéguez,6.59,69,D(C),8.0,2.0,0.0,1.8,4.7,22.7,73.0,,93.625
Miguel Layún,6.59,77,"D(LR), M(CLR)",5.0,0.1,0.0,1.0,1.1,25.0,79.5,,101.2
Facundo Roncaglia,6.59,75,D(CLR),12.0,1.6,0.0,2.8,3.5,43.9,84.1,,89.25
Robin Le Normand,6.58,67,D(C),3.0,2.0,0.0,1.3,3.0,55.0,88.2,,94.33333333333333
Gustavo Cabral,6.58,76,D(C),21.0,3.0,0.0,1.5,4.3,37.8,87.1,,90.38095238095238
Óscar De Marcos,6.57,79,"D(LR), M(CR)",28.0,1.3,1.0,2.0,1.6,34.3,77.1,,86.67857142857143
David Costas,6.57,70,D(C),13.0,2.0,1.0,1.7,3.6,45.5,88.1,,90.23076923076923
Rúben Vezo,6.57,77,D(CR),2.0,1.8,0.0,0.5,2.0,21.8,75.9,,97.0
Sergio Álvarez,6.57,75,"D(C), M(C)",12.0,1.9,0.0,1.8,2.2,26.2,79.3,,88.75
Gorka Elustondo,6.56,72,"D(C), M(C)",3.0,2.2,0.0,1.4,2.0,28.4,81.0,,95.33333333333333
Raúl García,6.56,80,D(CL),4.0,1.6,0.0,1.6,5.2,17.6,64.8,,95.0
Martín Aguirregabiria,6.56,75,D(R),23.0,0.7,0.0,1.7,2.3,26.7,68.9,,88.43478260869566
Andrés Guardado,6.55,82,"D(L), M(CL)",27.0,0.5,0.0,0.8,0.8,51.4,88.9,,86.66666666666667
Aleix Vidal,6.54,77,"D(R), M(LR)",5.0,0.7,0.0,1.2,0.8,22.8,76.1,,105.2
Ibrahim Amadou,6.53,75,"D(C), DMC",7.0,1.5,1.0,1.6,1.4,20.7,85.8,,108.28571428571429
Carles Planas,6.53,76,"D(L), M(L)",4.0,0.9,0.0,1.7,1.7,26.3,71.2,,104.5
Rúben Semedo,6.52,74,D(C),9.0,3.1,0.0,1.8,3.0,32.7,86.7,,94.22222222222223
Javi Moyano,6.52,71,D(R),25.0,1.0,1.0,0.9,2.7,26.4,74.1,,84.32
Guilherme Arana,6.52,74,"D(L), M(L)",8.0,0.3,0.0,1.2,0.8,24.4,84.5,,79.125
Íñigo Lekue,6.51,75,"D(LR), M(LR)",2.0,1.3,0.0,1.3,2.5,21.3,82.4,,105.0
Javi Sánchez,6.5,67,Defender,0.0,3.0,0.0,1.0,4.0,8.0,87.5,,
Óscar Duarte,6.5,68,"D(C), DMC",7.0,2.1,0.0,1.1,3.1,30.3,87.1,,93.85714285714286
Jordi Amat,6.5,76,"D(C), DMC",31.0,1.6,0.0,1.7,3.8,41.4,82.4,,89.16129032258064
Júnior Alonso,6.49,75,D(CL),6.0,2.1,0.0,1.4,2.2,30.0,75.9,,89.16666666666667
Ignasi Miquel,6.47,73,D(C),4.0,1.0,0.0,0.1,3.4,13.0,54.9,,79.25
Jesús Vallejo,6.46,78,D(C),4.0,0.6,0.0,1.2,2.4,31.2,87.8,,77.75
Víctor Sánchez,6.46,77,"D(LR), M(CL)",13.0,1.0,0.0,1.9,1.0,22.2,81.4,,96.76923076923077
Jeison Murillo,6.46,80,D(C),1.0,2.0,0.0,1.0,2.5,62.5,92.8,,112.0
Luisinho,6.46,74,"D(L), M(L)",6.0,0.0,0.0,2.0,2.1,27.9,86.7,,84.83333333333333
Xavi Quintillá,6.45,62,D(L),7.0,0.4,0.0,1.4,1.9,39.9,78.5,,89.71428571428571
Pablo De Blasis,6.45,75,"D(R), M(CLR)",16.0,1.1,1.0,1.3,0.8,26.7,70.4,,94.8125
Antonio Luna,6.45,74,"D(L), M(L)",14.0,0.8,0.0,0.9,2.3,29.8,73.0,,89.92857142857143
Pedro López,6.45,71,"D(R), M(R)",5.0,0.6,0.0,0.6,0.7,19.4,85.1,,92.8
Sergio Postigo,6.44,75,D(C),17.0,1.0,0.0,1.2,3.7,23.5,77.7,,85.3529411764706
Andoni Gorosabel,6.44,68,D(R),6.0,1.0,0.0,2.3,2.3,30.0,79.0,,76.0
Adrián Marín,6.44,72,D(L),2.0,0.8,0.0,2.2,1.7,13.7,70.7,,143.5
Moisés Delgado,6.44,64,Defender,3.0,1.0,0.0,2.3,3.0,24.7,67.6,,90.0
Mikel San José,6.44,77,"D(C), DMC",16.0,2.0,0.0,1.3,1.0,21.4,75.5,,107.3125
Emerson,6.41,75,D(R),4.0,0.5,0.0,1.5,1.5,24.3,81.5,,79.5
Sergio Akieme,6.41,67,Defender,2.0,0.5,0.0,1.5,2.5,32.5,84.6,,90.0
Antoñito,6.41,71,"D(R), M(R)",18.0,0.5,0.0,1.2,0.7,21.7,76.9,,103.05555555555556
Thomas Vermaelen,6.4,77,D(CL),7.0,1.4,0.0,0.7,2.2,40.4,94.0,,83.85714285714286
Jonás Ramalho,6.38,74,D(CR),18.0,1.2,0.0,0.6,3.3,32.5,84.1,,90.0
Javi García,6.38,78,"D(C), DMC",6.0,1.2,0.0,0.2,2.1,34.2,93.7,,86.66666666666667
Daniele Bonera,6.38,75,D(CR),4.0,0.2,0.0,0.4,2.0,18.6,90.3,,58.25
Tito,6.36,72,D(CLR),12.0,1.4,0.0,0.9,2.5,32.7,76.4,,91.58333333333333
Erick Cabaco,6.34,77,D(C),20.0,1.9,0.0,1.0,3.1,33.1,72.9,,81.95
Chechu Dorado,6.33,71,D(C),1.0,3.0,0.0,0.0,5.0,52.0,90.4,,90.0
Carlos Vigaray,6.33,72,D(CLR),7.0,1.6,0.0,1.9,2.5,19.3,72.1,,92.42857142857143
Pedro Bigas,6.32,74,D(CL),7.0,1.5,0.0,0.4,2.2,29.6,82.4,,83.57142857142857
Lluís López,6.31,77,D(C),5.0,2.3,0.0,0.8,3.2,40.7,80.7,,104.0
Antonio Barragán,6.29,76,"D(R), M(R)",12.0,0.8,0.0,1.0,1.7,37.4,86.0,,78.08333333333333
Mikel Balenziaga,6.28,75,D(L),6.0,0.5,0.0,0.9,1.5,16.1,74.0,,86.66666666666667
Kevin Vázquez,6.27,68,D(R),2.0,0.0,0.0,1.5,2.0,23.0,77.2,,109.0
Toni Lato,6.26,74,D(L),3.0,0.0,0.0,1.5,2.5,35.3,79.4,,90.0
Francisco Montero,6.19,64,D(C),4.0,0.1,0.0,0.9,1.8,17.8,75.0,,100.25
Ezequiel Muñoz,6.14,71,D(C),2.0,1.3,0.0,1.0,3.3,38.3,81.7,,105.5
Rajko Brezancic,6.08,69,D(L),0.0,1.0,0.0,1.0,0.0,15.0,66.7,,
Cristian Ganea,6,70,Defender,1.0,0.0,0.0,0.0,2.0,9.0,100.0,,50.0
Youcef Atal,7.48,73,"D(R), M(R)",25.0,1.6,8.0,2.3,1.3,34.9,83.6,,90.44
Thiago Mendes,7.27,76,"D(R), M(CR)",35.0,0.7,3.0,2.4,1.2,56.7,84.8,,88.05714285714286
Marcelo,7.25,80,D(C),33.0,5.2,0.0,1.5,4.5,72.2,87.8,,87.27272727272727
Marquinhos,7.24,84,"D(CR), DMC",30.0,2.3,0.0,2.2,2.7,75.3,91.9,,89.83333333333333
"Ronaël Pierre0,00Gabriel",7.19,72,"D(LR), D(LR)",4.0,1.5,1.0,3.3,3.3,39.0,86.5,,89.0
Benjamin André,7.18,77,"D(R), M(CLR)",28.0,4.9,1.0,3.4,1.6,49.4,79.2,,89.35714285714286
Gabriel,7.14,66,D(C),11.0,3.0,0.0,1.3,3.9,46.0,85.9,,96.45454545454545
Ruben Aguilar,7.13,77,"D(R), M(R)",29.0,1.0,2.0,3.0,1.6,42.6,83.5,,87.27586206896552
Youssouf Kone,7.13,64,D(L),19.0,0.7,2.0,3.4,2.0,41.3,83.2,,90.05263157894737
Mathieu Debuchy,7.12,78,"D(CR), D(CR)",23.0,4.0,2.0,1.8,2.4,34.8,73.1,,84.69565217391305
Kenny Lala,7.11,77,"D(LR), M(R)",34.0,0.8,3.0,2.3,1.5,48.1,80.5,,90.0
Almamy Touré,7.1,76,D(CR),4.0,2.8,0.0,3.3,2.5,57.5,85.7,,86.75
Marçal,7.1,77,D(CL),12.0,2.9,1.0,2.1,2.6,62.9,87.8,,73.58333333333333
Ferland Mendy,7.09,78,"D(L), M(L)",27.0,1.6,0.0,1.5,1.4,54.7,84.5,,93.66666666666667
Hiroki Sakai,7.09,78,"D(LR), M(R)",26.0,3.1,1.0,2.1,2.4,43.2,81.6,,91.26923076923077
Vukasin Jovanovic,7.08,72,D(C),15.0,2.6,2.0,1.6,6.5,50.0,85.0,,91.86666666666666
Christophe Herelle,7.07,76,D(C),33.0,3.1,0.0,2.2,4.6,65.8,88.7,,89.03030303030303
Thomas Meunier,7.07,82,"D(R), M(R)",19.0,1.5,1.0,2.0,1.0,37.5,84.5,,85.0
Thiago Silva,7.06,88,"D(C), D(C)",24.0,2.0,0.0,0.6,3.7,75.0,94.2,,86.625
Nicolas Pallois,7.04,77,D(C),24.0,2.1,1.0,3.2,4.6,43.5,77.1,,90.0
Renaud Ripart,7.03,70,"D(R), M(L), FW",34.0,2.6,3.0,2.0,1.9,25.8,73.3,,88.5
Dani Alves,7.02,82,"D(R), M(CR)",19.0,0.6,0.0,1.8,0.3,63.1,85.6,,85.52631578947368
Ghislain Konan,7.02,75,D(L),20.0,1.2,0.0,2.3,2.3,34.6,77.5,,90.0
Léo Dubois,7.01,77,D(LR),21.0,1.2,1.0,2.0,1.9,48.6,85.6,,97.33333333333333
Thilo Kehrer,6.98,77,"D(CR), M(R)",19.0,1.9,1.0,2.4,2.3,49.5,92.7,,99.78947368421052
Pablo Martinez,6.98,73,D(CL),32.0,2.3,2.0,1.6,3.9,49.4,84.2,,88.0625
Yunis Abdelhamid,6.97,72,D(C),38.0,3.0,3.0,1.6,4.8,42.2,82.9,,90.0
José Fonte,6.97,72,D(C),36.0,3.3,1.0,0.8,4.2,61.4,87.4,,86.44444444444444
Frederic Guilbert,6.97,75,"D(CLR), M(R)",33.0,2.4,2.0,2.9,3.1,31.6,74.2,,88.39393939393939
Bouna Sarr,6.96,77,"D(R), M(CLR)",25.0,1.2,3.0,2.3,1.7,37.4,85.2,,89.76
Loic Perrin,6.96,80,"D(C), D(C)",31.0,2.9,2.0,1.7,3.6,51.8,86.1,,87.16129032258064
"Fode Ballo0,00Toure",6.94,69,"D(L), D(L)",18.0,1.6,0.0,2.6,1.7,33.6,79.8,,88.61111111111111
Alexander Djiku,6.94,76,D(CR),31.0,2.9,3.0,1.5,5.8,45.3,83.0,,88.87096774193549
Charles Traoré,6.94,67,D(L),13.0,2.2,1.0,3.1,2.7,32.2,71.8,,89.53846153846153
Kenny Tete,6.94,78,"D(R), M(R)",12.0,1.4,1.0,2.3,2.0,48.7,84.0,,87.5
Pedro Mendes,6.93,78,D(CR),31.0,1.3,0.0,2.3,2.1,41.0,82.1,,86.09677419354838
"Jacques0,00Alaixys Romao",6.92,74,"D(C), M(C)",36.0,1.8,2.0,3.2,1.8,39.7,79.1,,87.91666666666667
William Saliba,6.91,63,"D(C), D(C)",13.0,1.8,0.0,2.0,2.7,40.3,85.6,,98.23076923076923
Djegui Koita,6.91,68,Defender,1.0,0.5,0.0,4.0,4.5,29.0,70.7,,173.0
Damien Le Tallec,6.91,72,"D(C), DMC",31.0,2.3,1.0,2.6,1.3,34.4,79.1,,90.70967741935483
Jordan Amavi,6.91,77,"D(L), M(L)",24.0,2.6,0.0,2.6,2.8,34.5,79.5,,90.75
"Fode Ballo0,00Toure",6.9,69,"D(L), D(L)",18.0,1.7,1.0,2.6,1.9,32.7,77.8,,88.61111111111111
Franck Tabanou,6.9,71,"D(L), M(L)",2.0,2.5,0.0,2.0,6.5,32.5,76.9,,90.0
Diego Carlos,6.9,78,D(C),35.0,2.5,1.0,1.7,5.2,48.0,82.5,,89.97142857142858
Abdul Rahman Baba,6.9,74,"D(L), M(L)",11.0,1.9,2.0,2.4,3.0,41.3,79.7,,87.72727272727273
Serigne Modou Kara Mbodji,6.89,77,D(C),6.0,2.7,0.0,2.0,4.0,33.5,78.1,,84.5
Mehmet Zeki Çelik,6.89,71,D(R),34.0,0.7,0.0,2.6,1.9,37.2,76.9,,87.52941176470588
Vincent Manceau,6.89,74,D(LR),31.0,0.6,1.0,3.2,2.3,40.5,82.2,,90.0
Anthony Briancon,6.88,72,D(C),33.0,2.3,0.0,1.4,5.4,39.4,81.2,,88.6969696969697
Issiaga Sylla,6.88,71,"D(LR), M(L)",23.0,2.4,1.0,2.3,2.7,37.5,77.9,,86.73913043478261
Damien Da Silva,6.88,77,D(C),32.0,2.4,1.0,1.2,4.5,42.9,87.8,,89.8125
Pedro Rebocho,6.87,74,D(L),36.0,1.3,1.0,1.7,2.0,40.4,79.7,,90.0
Ismaël Aaneba,6.87,60,Defender,3.0,0.3,0.0,4.0,2.3,28.0,64.3,,68.66666666666667
Dante,6.87,80,D(C),36.0,2.1,1.0,1.5,4.2,66.6,91.5,,89.63888888888889
Pierrick Capelle,6.87,75,"D(L), M(CLR)",21.0,1.2,2.0,2.0,1.7,31.0,83.9,,87.85714285714286
Ramy Bensebaini,6.86,75,"D(CL), DMC",24.0,2.2,0.0,2.8,3.3,41.2,77.9,,89.75
Christopher Jullien,6.86,72,D(C),34.0,4.3,2.0,1.0,5.9,43.4,83.0,,88.70588235294117
Sofiane Alakouch,6.85,68,D(R),23.0,0.8,1.0,3.2,1.8,32.1,74.3,,82.65217391304348
Malang Sarr,6.85,75,D(CL),34.0,1.6,0.0,1.7,2.7,59.5,89.8,,88.08823529411765
Félix Eboa Eboa,6.85,72,D(CR),27.0,3.8,3.0,1.7,4.8,35.2,77.4,,89.88888888888889
Juan Bernat,6.84,76,"D(L), M(CL)",21.0,0.6,0.0,1.9,1.2,41.6,90.8,,87.52380952380952
Pablo,6.84,76,D(C),25.0,2.8,1.0,1.0,6.7,39.2,84.4,,77.72
Björn Engels,6.83,75,D(C),33.0,3.1,0.0,0.3,5.4,39.7,83.8,,90.0
Enock Kwateng,6.83,68,"D(R), M(R)",22.0,1.5,0.0,2.2,1.6,32.3,70.4,,92.72727272727273
Hilton,6.82,78,D(C),36.0,2.2,1.0,0.9,5.3,41.7,82.1,,89.80555555555556
Romain Thomas,6.81,76,D(C),27.0,2.4,3.0,1.3,4.6,43.2,85.1,,88.70370370370371
Kamil Glik,6.81,83,D(C),33.0,3.2,2.0,1.0,6.0,49.2,83.9,,90.0
Jonathan Gradit,6.8,67,D(CR),23.0,1.5,1.0,2.2,3.1,34.2,81.2,,87.52173913043478
Daniel Congré,6.8,75,D(CLR),37.0,2.2,1.0,2.0,2.7,41.3,81.9,,89.0
Boubacar Kamara,6.8,72,"D(CL), DMC",27.0,2.1,2.0,2.2,2.9,44.7,86.4,,89.29629629629629
"Jean0,00Clair Todibo",6.79,64,"D(C), D(C)",10.0,2.5,1.0,2.1,6.2,42.3,84.6,,83.6
Mexer,6.78,75,D(C),29.0,2.1,0.0,0.8,4.3,43.7,89.0,,85.24137931034483
Hamari Traoré,6.77,74,"D(R), M(R)",33.0,1.1,0.0,1.8,2.2,43.6,82.5,,90.0909090909091
Ambroise Oyongo,6.77,74,"D(LR), M(L)",25.0,0.5,0.0,1.7,1.7,29.1,70.7,,85.64
Fouad Chafik,6.77,73,"D(LR), M(R)",21.0,0.8,0.0,2.1,3.0,33.7,74.7,,88.28571428571429
Jérémy Morel,6.77,76,D(CL),12.0,1.9,0.0,1.3,3.6,58.8,88.9,,88.75
Jordan Lefort,6.76,69,D(CL),21.0,2.8,2.0,1.4,4.5,34.4,69.5,,85.95238095238095
Benjamin Henrichs,6.75,76,"D(LR), M(R)",21.0,0.7,0.0,2.6,1.8,38.3,74.0,,87.0
Jason Denayer,6.75,76,"D(CR), DMC",31.0,1.8,0.0,1.1,3.8,63.5,93.8,,88.64516129032258
Théo Pellenard,6.75,68,D(L),6.0,1.7,0.0,1.8,2.5,43.8,82.9,,82.66666666666667
Jules Koundé,6.75,73,D(C),37.0,3.2,0.0,1.3,4.9,53.0,80.7,,90.0
Adil Rami,6.74,82,D(C),16.0,3.8,1.0,0.9,3.1,52.7,83.4,,88.375
Lima,6.74,75,"D(L), M(L)",28.0,1.3,1.0,1.6,1.7,39.8,73.3,,89.10714285714286
Nayef Aguerd,6.74,67,D(C),12.0,3.2,1.0,1.3,4.2,44.3,78.0,,87.58333333333333
Valentin Rosier,6.74,74,"D(LR), M(L)",16.0,1.0,1.0,2.4,1.8,37.0,83.8,,91.125
Adama Soumaoro,6.73,74,D(CR),20.0,2.0,0.0,0.7,4.4,46.3,94.3,,86.5
Thomas Foket,6.73,73,"D(R), M(R)",32.0,0.9,0.0,2.8,2.2,33.1,76.6,,90.0
Timothée Kolodziejczak,6.73,75,"D(CL), D(CL)",35.0,1.3,0.0,0.9,3.1,50.0,82.0,,90.97142857142858
Maxime Poundjé,6.72,73,D(L),28.0,1.4,0.0,1.6,2.2,35.9,80.1,,90.57142857142857
Hassane Kamara,6.72,64,D(L),9.0,0.6,1.0,1.8,2.1,22.6,81.2,,102.33333333333333
Adama Mbengue,6.72,69,D(L),8.0,0.5,0.0,4.4,1.5,22.7,64.4,,92.5
Luiz Gustavo,6.72,83,"D(C), M(C)",26.0,0.5,3.0,2.4,2.0,47.9,88.8,,93.61538461538461
Wesley Lautoa,6.72,71,"D(C), DMC",34.0,1.5,0.0,2.4,3.1,46.5,86.5,,88.97058823529412
Matt Miazga,6.71,73,D(C),8.0,5.8,0.0,1.5,4.9,53.4,81.0,,90.0
Lionel Carole,6.71,72,"D(L), M(L)",20.0,1.2,0.0,1.1,2.0,35.5,79.7,,86.4
Abdoulaye Bamba,6.71,72,"D(LR), M(R)",29.0,0.8,0.0,1.7,2.4,30.5,78.0,,88.75862068965517
Mateo Pavlovic,6.71,74,D(C),28.0,2.1,0.0,0.9,5.4,31.4,86.2,,88.96428571428571
Youssouf Sabaly,6.71,77,"D(LR), M(R)",21.0,0.8,0.0,2.0,1.5,43.2,81.6,,91.0
Sergi Palencia,6.71,70,D(R),22.0,0.8,0.0,3.0,2.3,36.2,80.0,,90.18181818181819
Patrick Burner,6.7,69,D(R),15.0,0.6,0.0,2.1,2.1,36.5,83.9,,90.26666666666667
Loïck Landre,6.69,70,D(C),19.0,1.5,1.0,1.4,3.5,24.4,80.6,,83.84210526315789
Jemerson,6.69,78,"D(C), DMC",25.0,2.7,0.0,2.2,4.7,43.1,86.9,,89.04
